,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
129,Mount Majura,24.9,Shiraz,,Canberra District,Australian Capital Territory,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
130,Seppelt,69.99,Shiraz,Red,Grampians,Victoria,2008.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
131,Best's Great Western,109.99,Shiraz,Red,Grampians,Victoria,2012.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
132,Nosey Parker,12.99,Shiraz,,McLaren Vale,South Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
133,Brothers In Arms,44.99,Shiraz,Red,Langhorne Creek,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
134,Saltram,79.99,Shiraz,Red,Barossa Valley,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
136,Shingleback,18.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
137,Kaesler,76.99,Shiraz,Red,Barossa Valley,South Australia,2010.0,750.0,,9.2,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
139,Mountadam,15.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
141,Brookland Valley Estate,31.9,Merlot,Red,Margaret River,Western Australia,2012.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
142,Grant Burge,157.99,Shiraz,Red,Barossa,South Australia,2008.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
143,Bannockburn,99.99,Pinot Noir,Red,Geelong,Victoria,2013.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Cork,Excellent
144,Lenton Brae,25.0,Merlot,Red,Margaret River,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Not specified,Screw Cap,Not specified
145,Katnook Estate,99.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2005.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
146,Torbreck,299.99,Shiraz,Red,Barossa Valley,South Australia,2005.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
147,Dalwhinnie,74.99,Shiraz,,Pyrenees,Victoria,2010.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
148,Yalumba,99.99,Shiraz,Red,Barossa Valley,South Australia,2015.0,750.0,14.0,8.3,Not specified,True,Full Bodied,Dry,Cork,Outstanding
149,First Drop,24.99,Cabernet Sauvignon,,McLaren Vale,South Australia,2016.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
150,Byron & Harold,14.99,Shiraz,Red,Great Southern,Western Australia,2013.0,750.0,,14.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
151,Warburn,4.99,Shiraz,,,,2017.0,750.0,12.5,7.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
152,Penley Estate,25.99,Shiraz,Red,Coonawarra,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
153,Mitolo,21.99,Cabernet Sauvignon,,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
154,Craftsman,7.0,Cabernet Sauvignon,,Coonawarra,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
155,Stella Bella,29.99,Shiraz,Red,Margaret River,Western Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
156,Red Hill Estate,16.99,Shiraz,Red,Heathcote,Victoria,2016.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
157,Irvine,18.99,Merlot,Red,Eden Valley,South Australia,2016.0,750.0,14.4,8.5,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
158,Serafino,24.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
159,Clonakilla,145.0,Shiraz,Red,Canberra District,Australian Capital Territory,2010.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Not specified,Exceptional
160,Giant Steps,58.99,Pinot Noir,Red,Yarra Valley,Victoria,2014.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
161,Five Stones,18.99,Merlot,,,,2015.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Not specified,Screw Cap,Not specified
163,Head,24.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
165,Wynns,49.99,Shiraz,Red,Coonawarra,South Australia,2013.0,750.0,12.5,7.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
167,Philip Shaw,23.99,Merlot,Red,Orange,New South Wales,2015.0,750.0,13.8,8.2,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
168,Hardys,16.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
169,McWilliam's,8.3,Merlot,Red,,,2017.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
170,Zema Estate,48.99,Shiraz,,Coonawarra,South Australia,2010.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
171,Phi,48.99,Pinot Noir,,Yarra Valley,Victoria,2013.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Cork,Not specified
172,Plantagenet,38.99,Cabernet Sauvignon,Red,Great Southern,Western Australia,2013.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
173,Pure Vision,16.99,Merlot,Red,,South Australia,2016.0,750.0,,8.6,True,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
176,Elephant In The Room,13.99,Cabernet Sauvignon,Red,,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
177,Shanahans,17.99,Shiraz,Red,,,2015.0,,14.0,8.3,Not specified,Not specified,Not specified,Dry,Not specified,Not specified
178,Reynella,47.99,Shiraz,Red,McLaren Vale,South Australia,2015.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
179,Reschke,15.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2012.0,750.0,13.7,8.1,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
180,Seppelt,71.99,Shiraz,,Grampians,Victoria,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
