,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Langtons Classified,Price Option 4,Price Option 5
100,13.50%,Seppelt,Screw Cap,Australia,2006,St Peters Great Western Shiraz 2006,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,Ranked 4 of 24 Shiraz from Western Victoria,750mL,8,Victoria,Shiraz,Full Bodied,Dry,Grampians,Outstanding,,
101,13.50%,St Hallett,Screw Cap,Australia,,Old Block Shiraz 2009,$104.50 in any six,$109.99 per bottle,Ranked 33 of 108 Shiraz from Barossa Valley,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
102,,Wynns,Cork,Australia,,Black Label Cabernet Sauvignon 1974,$365.00 per bottle,,,,750mL,,South Australia,Cabernet Sauvignon,Full Bodied,Dry,McLaren Vale,,,
103,14.50%,Howard Park,Cork,Australia,2000,Cabernet Blend 2000,$99.99 per bottle,,,,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Excellent,,
104,13.50%,St Huberts,Cork,Australia,2003,Cabernet Merlot 2003,$20.89 in any six,$248.05 per case of 12,$21.99 per bottle,,750mL,8,Victoria,Cabernet Merlot,Medium Bodied,Dry,Yarra Valley,,,
105,13.50%,Wynns,Screw Cap,Australia,2004,John Riddoch Cabernet Sauvignon 2004,$149.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Exceptional,,
106,14.50%,Bowen Estate,Cork,Australia,2004,Cabernet Sauvignon 2004,$59.99 per bottle,,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Excellent,,
107,13.00%,Penfolds,Cork,Australia,1993,Bin 128 1993,$89.99 per bottle,Ranked 6 of 15 Shiraz from Australia,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,Coonawarra,Excellent,,
108,13.20%,Wendouree,Cork,Australia,2001,Shiraz 2001,$199.99 per bottle,,,,750mL,7.8,South Australia,Shiraz,Full Bodied,Dry,Clare Valley,Exceptional,,
109,13.50%,Coldstream Hills,Screw Cap,Australia,2004,Reserve Cabernet Sauvignon 2004,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,,750mL,8,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Yarra Valley,,,
110,13.00%,Penfolds,Cork,Australia,1986,Bin 707 Cabernet Sauvignon 1986,$650.00 per bottle,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Exceptional,,
111,13.90%,Lake's Folly,Cork,Australia,1996,Cabernets 1996,$142.99 per bottle,,,,750mL,8.2,New South Wales,Cabernet Blends,,Dry,Hunter Valley,Excellent,,
112,14.50%,Penfolds,Screw Cap,Australia,2006,Bin 128 Shiraz 2006,$59.99 per bottle,Ranked 1 of 17 Shiraz from Coonawarra,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Coonawarra,Excellent,,
113,14.00%,Coldstream Hills,Screw Cap,Australia,2005,Cabernet Sauvignon 2005,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Yarra Valley,,,
114,14.50%,Penfolds,Cork,Australia,2005,RWT Barossa Valley Shiraz 2005,$184.99 per bottle,Ranked 4 of 112 Shiraz from Barossa Valley,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,Outstanding,,
115,14.00%,Wynns,Screw Cap,Australia,2006,Black Label Cabernet Sauvignon 2006,$54.99 per bottle,Ranked 1 of 40 Cabernet Sauvignon from Coonawarra,,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Excellent,,
116,13.0% (2015),Teusner,Screw Cap,Australia,2015*,Salsa Grenache Mataro Shiraz Rosé,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 23 Grenache from Barossa Valley,,,750mL,7.7 (2015),South Australia,Grenache Mourvèdre Shiraz,Light Bodied,Dry,Barossa Valley,,,
117,15.50%,Jasper Hill,Cork,Australia,1999,Georgia's Paddock Shiraz 1999,$149.99 per bottle,,,,750mL,9.2,Victoria,Shiraz,Full Bodied,Dry,Heathcote,Outstanding,,
118,13.50%,Penfolds,Cork,Australia,1994,Bin 407 Cabernet Sauvignon 1994,$159.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,Excellent,,
119,13.50%,Penfolds,Cork,Australia,1989,St Henri Shiraz 1989,$264.99 per bottle,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,Outstanding,,
