,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
24,13.5%,Samuel Wynn & Co,Screw Cap,Australia,2017*,Last Rights Cabernet Sauvignon,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
25,15%,Fowles,Screw Cap,Australia,2015*,Are You Game? Cabernet Sauvignon,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Awards: Sydney International Wine Competition Trophy & Top 100 Winner Trophy for Best Value Dry Red Table Wine of Competition,,750mL,8.9,Victoria,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
26,14% (2015),Summerfield,Screw Cap,Australia,2015*,Shiraz,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,750mL,8.3 (2015),Victoria,Shiraz,Full Bodied,Dry,,,,,
27,14.5,Pure Vision,Screw Cap,Australia,2005,Organic Merlot 2005,$17.00 per bottle,$204.00 per case of 12,,,,750mL,8.6,,Merlot,Medium Bodied,Dry,,,,,true
28,14.0%,Parker Coonawarra Estate,Cork,Australia,2012*,First Growth Cabernet Blend,$94.99 in any six,$569.94 per case of 6,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Cabernet Blends,,Dry,Ranked 14 of 63 Cabernet Sauvignon from South Australia,,Excellent,,
29,14.5% (2012),Tim Adams,Screw Cap,Australia,2012*,Cabernet Malbec,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 63 Cabernet Sauvignon from South Australia,,Clare Valley,750mL,8.6 (2012),South Australia,Cabernet Malbec,,Dry,,,,,
30,14.5%,Oliver's Taranga Vineyards,Screw Cap,Australia,2017*,Shiraz,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
31,13.5% (2007),Watershed,Screw Cap,Australia,2007*,Shades Shiraz Cabernet,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0 (2007),Western Australia,Shiraz Cabernet,Full Bodied,Dry,,,,,
32,13.0% (2013),Graillot,Screw Cap,Australia,2013*,Syrah,$49.39 in any six,$296.34 per case of 6,$51.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.7 (2013),Victoria,Syrah,Full Bodied,Dry,,,,,
33,13.3% (2017),Glaetzer-Dixon,Screw Cap,Australia,2017*,Nouveau Pinot Noir,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.2 (2016),Tasmania,Pinot Noir,Light Bodied,Dry,,,,,
34,13.5%,Kirrihill,Screw Cap,Australia,2016*,Tullymore Vineyard Cabernet Sauvignon,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"Awards: Trophy – Champion Cabernet Sauvignon & Predominate Blends (NZ International Wine Show 2016), Gold Medal -  NZ International Wine Show 2016 and San Francisco Wine Competition 2016",Clare Valley,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
35,13%,Ferngrove,,Australia,2016,King Malbec 2016,$32.00 per bottle,$192.00 per case of 6,Ranked 14 of 24 Malbec from Australia,,"Frankland River, WA",750ml,7.7,,Malbec,,,,,,,
