,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Organic,Vegan Friendly,Price Option 5
24,5.5% (2017),Innocent Bystander,Crown Seal,Australia,2017*,Moscato 750mL,$16.90 in any six,$101.40 per case of 6,$17.80 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.3 (2017),Victoria,Moscato,,Semi Sweet,,,,,
25,13.5%,Yellow Tail,Screw Cap,Australia,Non Vintage,Big Bold Red,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,New South Wales,Red Blend,,Dry,,,,,
26,13.4%,Wynns,,Australia,2015,John Riddoch Cabernet Sauvignon 2015,$119.70 in any six,$718.20 per case of 6,$125.99 per bottle,,Coonawarra,750mL,7.9,South Australia,Caberent Sauvignon,,,,,,,
27,12.5%,Blue Pyrenees,Screw Cap,Australia,2018,Bone Dry Rosé,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,"Awards: Gold Medal and Trophy Victorian Western Wine Challenge 2018
Gold Medal Victorian Wine Show 2017",,750mL,7.4,,Pinot Noir,Light Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
28,14.5%,Penfolds,Screw Cap,Australia,2017,The Commander in Chief Shiraz Cabernet,$35.90 in any six,$215.40 per case of 6,$37.80 per bottle,,,750mL,8.6,South Australia,"Shiraz, Cabernet Sauvignon",,,,,,,
29,14.5%,Battle of Bosworth,Screw Cap,Australia,2016*,Shiraz,$22.90 in any six,$274.80 per case of 12,$24.10 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Ranked 83 of 107 Shiraz from McLaren Vale,true,true,
30,13.5% (2017),Houghton,Screw Cap,Australia,2017*,Cabernet Sauvignon,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,Awards: Gold - Royal Melbourne Wine Show 2012,Swan Valley,750mL,8.0 (2014),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
31,13.40%,Penfolds,Cork,Australia,1975,Grange 1975,$999.00 per bottle,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,
32,13%,T'Gallant,Screw Cap,Australia,2017*,Juliet Pinot Noir,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
33,13.5%,Rosemount,Screw Cap,Australia,2017*,Diamond Label Shiraz,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,Awards: Gold Medal - Cowra Wine Show 2016,,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
34,15%,Torbreck,Cork,Australia,2013*,RunRig Shiraz,$242.30 in any six,"$1,453.80 per case of 6",$254.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Exceptional,Ranked 1 of 24 Shiraz from Barossa Valley,,,
35,14.5%,Penfolds,Screw Cap,Australia,2015*,Max's Cabernet Sauvignon,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.","Wrattonbully, McLaren Vale, Coonawarra, Barrossa Valley and Padthaway",750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
