,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Organic,Price Option 4,Price Option 5
106,15.00%,d'Arenberg,Cork,Australia,2001,Excellent,The Coppermine Road Cabernet Sauvignon 2001,$56.99 in any six,McLaren Vale,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$59.99 per bottle,,,,,
107,14.50%,Tatachilla,Cork,Australia,2005,,Foundation Shiraz 2005,$52.25 in any six,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$313.50 per case of 6,$54.99 per bottle,Ranked 24 of 73 Shiraz from McLaren Vale,,,
108,13.50%,Petaluma,Screw Cap,Australia,2005,Excellent,Coonawarra 2005,$76.99 per bottle,Coonawarra,750mL,8,South Australia,Cabernet Blends,,Dry,,,,,,
109,14.00%,Bindi,Cork,Australia,2008,Outstanding,Block 5 Pinot Noir 2008,$169.99 per bottle,Macedon Ranges,750mL,8.3,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 6 of 138 Pinot Noir from Port Phillip,,,,,
110,14.50%,Kay Brothers Amery Vineyards,Screw Cap,Australia,,Outstanding,Block 6 Shiraz 2008,$118.80 in any six,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$712.80 per case of 6,$124.99 per bottle,,,,
111,14.00%,Leconfield,Screw Cap,Australia,,,Cabernet Sauvignon 2009,$36.10 in any six,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$433.20 per case of 12,$37.99 per bottle,Ranked 4 of 45 Cabernet Sauvignon from Coonawarra,,,
112,14.50%,Turkey Flat,Screw Cap,Australia,,Excellent,Shiraz 2009,$58.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$336.30 per case of 6,$56.05 in any six,Ranked 66 of 108 Shiraz from Barossa Valley,,,
113,14.50%,Penfolds,Cork,Australia,,,Magill Estate 2014,$109.00 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 6 of 24 Shiraz from Adelaide Hills,,,,,
114,15.0%,Murray,Cork,Australia,2004*,,Street Vineyards Benno 2004,$109.30 in any six,Barossa Valley,750mL,8.9,South Australia,Shiraz Cabernet,,,$327.90 per case of 3,$114.99 per bottle,Awards: Blue-Gold & Top 100  Sydney International Wine Competition Awarded: 2008,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 39 Shiraz from South Australia
115,14.50%,Penfolds,Screw Cap,Australia,,Exceptional,Bin 707 Cabernet Sauvignon 2014,$499.00 per bottle,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 2 of 133 Cabernet Sauvignon from South Australia,,,,,
116,14.00%,Blue Pyrenees,Screw Cap,Australia,,,Cabernet Sauvignon 2009,$21.85 in any six,Pyrenees,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,$131.10 per case of 6,$22.99 per bottle,,,,
117,14.50%,St Hallett,Screw Cap,Australia,2006,Excellent,Old Block Shiraz 2006,$94.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 4 of 120 Shiraz from Barossa Valley,,,,,
118,16.50%,Noon,Cork,Australia,2009,Outstanding,Reserve Cabernet 2009,$84.99 per bottle,Langhorne Creek,750mL,9.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
119,14.50%,Morris,Screw Cap,Australia,2006,,Shiraz 2006,$16.15 in any six,Rutherglen,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,$95.85 per case of 6,$16.99 per bottle,Awards: Gold - RASQ Wine Show and Mediterranean Challenge Toowoomba 2011,,,
