,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
16,13.50%,Bannockburn,Cork,Australia,Shiraz 2001,$49.99 per bottle,Geelong,750mL,8,Victoria,Shiraz,Dry,,,Full Bodied,,,,
17,13.50%,Crofters,Cork,Australia,Cabernet Merlot 2000,$28.49 in any six,Great Southern,750mL,8,Western Australia,Cabernet Merlot,Dry,2000,,Medium Bodied,$170.40 per case of 6,$29.99 per bottle,,
18,14.00%,Hardys,Cork,Australia,Thomas Hardy Cabernet Sauvignon 1994,$89.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Dry,1994,,Full Bodied,,,,
19,13.50%,Lindeman's,Cork,Australia,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2003,$42.75 in any six,Coonawarra,750mL,8,South Australia,Shiraz Cabernet,Dry,2003,Excellent,Full Bodied,$256.50 per case of 6,$44.99 per bottle,,
20,13.50%,Lindeman's,Cork,Australia,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2003,$42.75 in any six,Coonawarra,750mL,8,South Australia,Shiraz Cabernet,Dry,2003,Excellent,Full Bodied,$256.50 per case of 6,$44.99 per bottle,,
21,14.50%,Penfolds,Cork,Australia,St Henri Shiraz 2002 Magnum 1.5L,$332.50 in any six,,1.5L,17,South Australia,Shiraz,Dry,,Outstanding,Full Bodied,"$1,995.00 per case of 6",$350.00 per bottle,,
22,14.00%,Penfolds,Cork,Australia,Bin 138 Old Vine Mourvedre Grenache Shiraz 1999,$42.75 in any six,Barossa Valley,750mL,8.3,South Australia,Grenache Shiraz Mouv?dre,Dry,,,Medium Bodied,$507.49 per case of 12,$44.99 per bottle,,
23,14.50%,Metala,Cork,Australia,White Label Shiraz Cabernet 2005,$18.05 in any six,Langhorne Creek,750mL,8.6,South Australia,Shiraz Cabernet,Dry,2005,,Full Bodied,$214.25 per case of 12,$18.99 per bottle,Ranked 1 of 24 Shiraz from Fleurieu,
24,14.00%,Penley Estate,Cork,Australia,Reserve Cabernet Sauvignon 1998,$76.00 in any six,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Dry,,,Full Bodied,$902.29 per case of 12,$79.99 per bottle,,
25,14.50%,Pepperjack,Screw Cap,Australia,Cabernet Sauvignon 2006,$25.65 in any six,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,,Full Bodied,$152.25 per case of 6,$26.99 per bottle,"Awards: 2 Gold - Royal Hobart International Wine Show 2007, Royal Queensland Wine Show 2008",Ranked 11 of 23 Cabernet Sauvignon from Barossa Valley
26,14.50%,Pepperjack,Screw Cap,Australia,Cabernet Sauvignon 2006,$25.65 in any six,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,,Full Bodied,$152.25 per case of 6,$26.99 per bottle,"Awards: 2 Gold - Royal Hobart International Wine Show 2007, Royal Queensland Wine Show 2008",Ranked 11 of 23 Cabernet Sauvignon from Barossa Valley
27,13.80%,Rosemount,Cork,Australia,Mountain Blue Shiraz Cabernet 1997,$59.99 per bottle,Mudgee,750mL,8.2,New South Wales,Shiraz Cabernet,Dry,,,Full Bodied,,,,
28,14.0%(1999),Rosemount,Cork,Australia,Mountain Blue Shiraz Cabernet 1999,$56.95 in any six,Mudgee,750mL,8.3(1999),New South Wales,Shiraz Cabernet,Dry,,,Full Bodied,$338.35 per case of 6,$59.99 per bottle,"Awards: Trophy - Mudgee wine show 2001. Gold - Mudgee Wine Show 2001, Perth Wine show 2001",
29,14.50%,Penfolds,Cork,Australia,RWT Barossa Valley Shiraz 2007 Magnum 1.5L,$340.00 per bottle,Barossa Valley,1.5L,17.4,South Australia,Shiraz,Dry,2007,Outstanding,Full Bodied,"$1,938.00 per case of 6",$323.00 in any six,,
30,13.5% (2010),Tollana,Screw Cap,Australia,Robinson Family Vineyard Pinot Noir,$23.90 in any six,Mornington Peninsula,750mL,8.0 (2010),Victoria,Pinot Noir,Dry,2010*,,Light Bodied,$143.40 per case of 6,$23.90 per bottle,"Awards: 1 Trophy - Victorian Wine Show 2012, 3 Gold - Victorian Wine Show 2012, Royal Melbourne Wine Show 2012, National Wine Show of Australia 2012","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur."
31,13.5% (2010),Tollana,Screw Cap,Australia,Robinson Family Vineyard Pinot Noir,$23.90 in any six,Mornington Peninsula,750mL,8.0 (2010),Victoria,Pinot Noir,Dry,2010*,,Light Bodied,$143.40 per case of 6,$23.90 per bottle,"Awards: 1 Trophy - Victorian Wine Show 2012, 3 Gold - Victorian Wine Show 2012, Royal Melbourne Wine Show 2012, National Wine Show of Australia 2012","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur."
32,14.0% (2012),Robertson's Well,Screw Cap,Australia,Cabernet Sauvignon,$13.29 in any six,Coonawarra,750mL,8.3 (2012),South Australia,Cabernet Sauvignon,Dry,2012*,,Full Bodied,$78.90 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
33,14.50%,Taylors,Screw Cap,Australia,Cabernet Sauvignon 2005,$17.09 in any six,Clare Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,,Full Bodied,$101.49 per case of 6,$17.99 per bottle,,
34,13.60%,Wendouree,Cork,Australia,Shiraz 1992,$209.99 per bottle,Clare Valley,750mL,8.1,South Australia,Shiraz,Dry,1992,Exceptional,Full Bodied,,,,
35,13.50%,Wynns,Cork,Australia,Shiraz 2004,$16.15 in any six,Coonawarra,750mL,8,South Australia,Shiraz,Dry,2004,,Full Bodied,$191.65 per case of 12,$16.99 per bottle,,
36,13.50%,Wynns,Cork,Australia,Shiraz 2004,$16.15 in any six,Coonawarra,750mL,8,South Australia,Shiraz,Dry,2004,,Full Bodied,$191.65 per case of 12,$16.99 per bottle,,
37,13.20%,Petaluma,Cork,Australia,Merlot 1996,$69.99 per bottle,Coonawarra,750mL,7.8,South Australia,Merlot,Dry,1996,,Medium Bodied,,,,
