,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
48,14.5%,Three Dark Horses,Screw Cap,Australia,2018,Preservative Free Shiraz 2018,$19.99 per bottle,$239.88 per case of 12,Awards: James Halliday Wine Companion 2019 Ten Dark Horses,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Medium Bodied,Dry,,,true
49,14.5%,Wolf Blass,Screw Cap,Australia,2013*,Brown Label Classic Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"Awards: Gold Medal - San Francisco International Wine Competition 2017, 2 Silver Medals - San Francisco International Wine Competition 2016, International Wine Challenge 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
50,13.5%,McGuigan,Cork,Australia,2010*,The Philosophy,$142.50 in any six,$570.00 per case of 4,$150.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.0,South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,,,
51,14.5%,Mitolo,Screw Cap,Australia,2016*,Jester Shiraz,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
52,14.000000000000002%,Hardys,Screw Cap,Australia,2016*,HRB Cabernet Sauvignon,Member Offer$25.00 per bottle,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,Awards: Gold - Sydney Royal Wine Show 2016.  Silver - International Wine Challenge UK 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
53,13%,Audrey Wilkinson,Screw Cap,Australia,2018*,Rosé,$16.90 in any six,$101.40 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Hunter Valley,750mL,7.7,New South Wales,,Light Bodied,Dry,,,
54,13.00%,Cleanskin,Screw Cap,Australia,Non Vintage,Dry Red,$3.75 in any six,$22.50 per case of 6,$3.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.7,,Red Blend,,Dry,,,
55,14.0%,Turkey Flat,Screw Cap,Australia,2016*,Butcher's Block Shiraz Grenache Mataro,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 15 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.3,South Australia,Shiraz Grenache Mataro,,Dry,,,
56,13.5%,Henschke,Screw Cap,Australia,2008,Cyril Henschke Cabernet Sauvignon 2008,$997.80 per case of 6,$174.99 per bottle,,,,,Eden Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
57,13.5%,Yalumba,Screw Cap,Australia,2017*,Y Series Shiraz,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,true
58,14.5%,John Duval,Screw Cap,Australia,2016*,Plexus Shiraz Grenache Mourvedre,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 15 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz Grenache Mourvèdre,,Dry,Excellent,,
59,14%,Rymill,Cork,Australia,2014*,Cabernet Sauvignon,$26.59 in any six,$159.54 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 19 of 33 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
60,13.5% (2014),Escarpment,Cork,Australia,2014*,Pinot Noir,$49.40 in any six,$296.40 per case of 6,$51.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Martinborough,750mL,8 (2014),,Pinot Noir,Light Bodied,Dry,,,
61,14.0% (2015),Willow Bridge Estate,Screw Cap,Australia,2015*,Shiraz,$13.29 in any six,$159.48 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 32 of 46 Shiraz from South West Australia,,,750mL,8.3 (2015),Western Australia,Shiraz,Full Bodied,Dry,,,
