,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Organic
75,14.0% (2013),Jim Barry,Screw Cap,Australia,2013*,The Cover Drive Cabernet Sauvignon Magnum 1.5L,$47.50 in any six,$285.00 per case of 6,Clare Valley,1.5L,16.6 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$50.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
76,13.5% (2016),Pfeiffer,Screw Cap,Australia,2016*,Gamay,$18.05 in any six,$216.60 per case of 12,Rutherglen,750mL,8.0 (2016),Victoria,Gamay,Light Bodied,Dry,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
77,14.0% (2012),Penfolds,Screw Cap,Australia,2012*,Thomas Hyland Shiraz,$13.25 in any six,$78.40 per case of 6,Adelaide,750mL,8.3 (2012),South Australia,Shiraz,Full Bodied,Dry,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
78,14.5% (2011),Wolf Blass,Screw Cap,Australia,2011*,Grey Label Shiraz 2011,Awards: 1 Gold - Hong Kong International Wine & Spirit Competition Awarded: 2013 & 2011 Vintage,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 84 of 100 Shiraz from McLaren Vale,,,,
79,13.0% (2015),Home Hill,Screw Cap,Australia,2015*,Kelly's Reserve Pinot Noir,$71.30 in any six,$855.60 per case of 12,Derwent,750mL,7.7 (2015),Tasmania,Pinot Noir,Light Bodied,Dry,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 3 of 107 Pinot Noir from Tasmania,
80,14.5% (2014),Dog Ridge,Screw Cap,Australia,2014*,The Pup Cabernet Merlot,$9.40 in any six,$56.40 per case of 6,McLaren Vale,750mL,8.6 (2014),South Australia,Cabernet Merlot,Medium Bodied,Dry,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
81,13.0% (2015),Mayer,Cork,Australia,2015*,Close Planted Pinot Noir,$57.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2015),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 9 of 74 Pinot Noir from Yarra Valley,,,,
82,13.0% (2011),Jr Jones,Screw Cap,Australia,2011*,Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,7.7 (2011),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
83,13.8% (2014),Domaine Naturaliste,Screw Cap,Australia,2014*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0 (2014),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
84,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Pyrus Cabernet Blend 2013,$39.99 per bottle,Ranked 15 of 19 Cabernet Sauvignon from Limestone Coast,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
85,13.0% (2016),Jericho,Screw Cap,Australia,2016*,Adelaide Hills Tempranillo,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2016),South Australia,Tempranillo,Full Bodied,Dry,Ranked 6 of 26 Tempranillo from South Australia,,,,
86,13.0% (2015),Banrock Station,Screw Cap,Australia,2015*,Shiraz Cabernet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2015),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,,
87,13.5%,Trip Notes,Screw Cap,Australia,2016*,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8,,Shiraz,,,,,,,
88,18.50%,Wendouree,Cork,Australia,2008,Shiraz Mataro 2008,$95.00 in any six,$99.99 per bottle,Clare Valley,750mL,10.9,South Australia,Shiraz Mataro,,Dry,,,Outstanding,,
89,14.00%,Wendouree,Cork,Australia,1997,Shiraz 1997,$239.99 per bottle,Ranked 14 of 20 Shiraz from Australia,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,Exceptional,,
90,9.50%,Banrock Station,Cask Closure,Australia,Non Vintage,Crimson Cabernet 2L,,,,2L,15,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
91,,Quintessential,,Australia,,Cabernet Mixed Pack,,,,750mL,,,Caberent Sauvignon,,,,,,,
92,13.50%,Penfolds,Cork,Australia,,RWT Shiraz 1998 Magnum 1.5L,$550.00 per bottle,,,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,
93,14.50%,Elderton,Cork,Australia,1997,Command Shiraz 1997,$134.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,,
94,14.50%,d'Arenberg,Screw Cap,Australia,2007,The Dead Arm Shiraz 2007,$107.99 per bottle,Ranked 11 of 77 Shiraz from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
95,16.50%,Kaesler,Cork,Australia,2005,Old Bastard Shiraz 2005,$249.99 per bottle,Ranked 30 of 112 Shiraz from Barossa Valley,Barossa Valley,750mL,9.8,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
96,14.00%,Pepperjack,Screw Cap,Australia,,Cabernet Sauvignon 2010,$29.50 in any six,$177.00 per case of 6,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$30.99 per bottle,,,,
97,,Peter Lehmann,Cork,Australia,1995,Stonewell Shiraz 1995,$154.99 per bottle,,Barossa Valley,750mL,,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
98,14.90%,Kay Brothers Amery Vineyards,Cork,Australia,1995,Block 6 Shiraz 1995,$149.99 per bottle,,McLaren Vale,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
99,13.50%,Wolf Blass,Cork,Australia,1995,Black Label Cabernet Sauvignon Shiraz 1995,$154.99 per bottle,,,750mL,8,South Australia,Cabernet Shiraz,,Dry,,,Excellent,,
100,13.60%,Orlando,Cork,Australia,1997,St Hugo Cabernet Sauvignon 1997,$74.99 per bottle,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,,
101,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2010,$64.99 per bottle,Ranked 6 of 74 Shiraz from South Australia,Coonawarra,750mL,8.3,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,Excellent,,
102,15.00%,Jasper Hill,Cork,Australia,2008,Georgia's Paddock Shiraz 2008,$104.99 per bottle,,Heathcote,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,,,Outstanding,,
103,14.90%,Torbreck,Cork,Australia,2001,Descendant Shiraz Viognier 2001,$144.99 per bottle,,Barossa Valley,750mL,8.8,South Australia,Shiraz Viognier,,Dry,,,Excellent,,
