,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
44,13.50%,Wendouree,Cork,Australia,Shiraz 2008,$214.99 per bottle,,,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2008,,,,Exceptional,
45,13.50%,Wendouree,Cork,Australia,Shiraz 2008,$214.99 per bottle,,,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2008,,,,Exceptional,
46,13.80%,Kay Brothers Amery Vineyards,Cork,Australia,Block 6 Shiraz 2001,$134.99 per bottle,,,McLaren Vale,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,2001,,,,Outstanding,
47,13.5% (2010),Diamond Valley,Screw Cap,Australia,Blue Label Pinot Noir,$18.88 in any six,$226.56 per case of 12,$18.88 per bottle,Yarra Valley,750mL,8 (2010),Victoria,Pinot Noir,Light Bodied,Dry,2010*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
48,13.00%,Mount Langi Ghiran,Cork,Australia,Langi Shiraz 1996,$139.99 per bottle,,,Grampians,750mL,7.7,Victoria,Shiraz,Full Bodied,Dry,,,,,Excellent,
49,13.5% (2013),Chain Of Ponds,Screw Cap,Australia,Grave's Gate Shiraz,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,Adelaide Hills,750mL,8.0 (2013),South Australia,Shiraz,Full Bodied,Dry,2013*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
50,14.50%,Penfolds,Cork,Australia,Grange 2002 Magnum 1.5L,"$2,000.00 per bottle",,,,1.5L,19.2,South Australia,Shiraz,Full Bodied,Dry,2002,,,,Exceptional,
51,14.50%,Clarendon Hills,Cork,Australia,Astralis Syrah 2006,$460.00 per bottle,,,McLaren Vale,750mL,8.6,South Australia,Syrah,Full Bodied,Dry,2006,,,,Exceptional,
52,14.50%,Wolf Blass,Screw Cap,Australia,Platinum Label Shiraz 2005,$144.99 per bottle,Ranked 39 of 112 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2005,,,,Outstanding,
53,12.5,Penley Estate,Screw Cap,Australia,Electra Pinot Noir Rose 2016,$19.99 per bottle,$119.94 per case of 6,,Coonawarra,750ml,7.5,,Pinot Noir,,,,,,,,
