,Alcohol Volume,Brand Name,Closure,Country,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Wine Body,Vegan Friendly
72,15.00%,Giaconda,Cork,Australia,Exceptional,Chardonnay 2005,$229.99 per bottle,Beechworth,750mL,8.9,Victoria,Chardonnay,Dry,2005,Ranked 1 of 77 Chardonnay from Victoria,,,,,
73,13.5% (2010),Kooyong,Screw Cap,Australia,,Farrago Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.1 (2010),Victoria,Chardonnay,Dry,2010*,Ranked 9 of 36 Chardonnay from Mornington Peninsula,,,,,
74,13.00%,Leo Buring,Screw Cap,Australia,Excellent,DW J17 Leonay Riesling 2006,$39.99 per bottle,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,2006,,,,,,
75,13.50%,Penfolds,Screw Cap,Australia,,Reserve Bin A Chardonnay 2005,$104.50 in any six,Adelaide Hills,750mL,8,South Australia,Chardonnay,Dry,2005,$627.00 per case of 6,$110.00 per bottle,Ranked 5 of 15 Chardonnay from Adelaide Hills,,,
76,12.50%,Penfolds,Screw Cap,Australia,,Bin 51 Riesling 2007,$30.39 in any six,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,2007,$182.34 per case of 6,$31.99 per bottle,Ranked 17 of 25 Riesling from Eden Valley,,,
77,13.50%,Penfolds,Cork,Australia,Outstanding,Yattarna Chardonnay 1996,$149.99 per bottle,,750mL,8,South Australia,Chardonnay,Dry,1996,"Awards: 5 Gold - Canberra  Wine Show 1998, Adelaide Wine Show 1998, Hobart Wine Show 1998, Royal Melbourne Wine Show 1997, Brisbane Wine Show 1997.",,,,,
78,14.00%,Giaconda,Cork,Australia,Exceptional,Chardonnay 2004,$189.99 per bottle,Beechworth,750mL,8.3,Victoria,Chardonnay,Dry,2004,Ranked 16 of 49 Chardonnay from Victoria,,,,,
79,13.00%,Grosset,Screw Cap,Australia,Outstanding,Watervale Riesling 2002,$69.99 per bottle,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,2002,Ranked 6 of 31 Riesling from Clare Valley,,,,,
80,12.2% (2011),Xabregas,Screw Cap,Australia,,Estate Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.2 (2011),Western Australia,Sauvignon Blanc,Dry,2011*,,,,,,
81,13.5%,The Remarkable State,Screw Cap,Australia,,Proclamation Adelaide Hills Pinot Grigio 2017,2017,Adelaide Hills,750mL,8,South Australia,Pinot Grigio,,2017,,,,,,
