,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
68,13.80%,Wendouree,Cork,Australia,2001,Shiraz Mataro 2001,$99.99 per bottle,,Clare Valley,750mL,8.2,Shiraz Mourvèdre,Dry,South Australia,,,,,,,Outstanding,
69,14.50%,The Old Faithful,Cork,Australia,,Northern Exposure Grenache 2010,$52.30 in any six,$313.80 per case of 6,McLaren Vale,750mL,8.6,Grenache,Dry,South Australia,$54.99 per bottle,Medium Bodied,,Ranked 2 of 24 Grenache from McLaren Vale,,,,
70,14.499999999999998%,Laventura,,Australia,,Garnacha,$54.95 per bottle,$659.40 per case of 12,,750mL,8.5,Grenache,,,,,,,,,,
71,14.50%,Oliver's Taranga Vineyards,Screw Cap,Australia,,Shiraz 2009,$39.99 per bottle,$455.88 per case of 6,McLaren Vale,750mL,8.6,Shiraz,Dry,South Australia,$37.99 in any six,Full Bodied,,Ranked 7 of 81 Shiraz from McLaren Vale,,,,
72,14.00%,Grant Burge,Cork,Australia,1993,Meshach Shiraz 1993,$196.99 per bottle,Ranked 8 of 15 Shiraz from Australia,Barossa Valley,750mL,8.3,Shiraz,Dry,South Australia,,Full Bodied,,,,,Outstanding,
73,14% (2015),Grove Estate,Screw Cap,Australia,2015*,Hilltops Cabernet Sauvignon,$14.25 in any six,$171.00 per case of 12,Hilltops,750mL,8.6 (2008),Cabernet Sauvignon,Dry,New South Wales,$14.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
74,14%,Yalumba,Screw Cap,Australia,2013,Triangle Block Eden Valley Shiraz 2013,Online Offer$12.90 per bottle,$22.80 in any six,Eden Valley,750mL,8.3,Shiraz Viognier,,South Australia,$273.60 per case of 12,,true,$23.99 per bottle,,,,
75,14.000000000000002%,Kellermeister,Screw Cap,Australia,2015*,The Pious Pioneer Shiraz,$31.40 in any six,$188.40 per case of 6,Barossa  Valley,750mL,8.3,Shiraz,,South Australia,$32.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
76,13.50%,Paradise IV,Screw Cap,Australia,2015*,Chaumont,$64.60 in any six,$775.20 per case of 12,Geelong,750mL,7.9,Cabernet Blend,Dry,Victoria,$67.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
77,14.5%,Head,Screw Cap,Australia,2016*,The Blonde Shiraz,$41.80 in any six,$250.80 per case of 6,Barossa Valley,750mL,8.6,Shiraz,Dry,South Australia,$43.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 113 of 135 Shiraz from Barossa Valley,,,
78,14.5%,Kilikanoon,Screw Cap,Australia,2016*,Exodus Shiraz,$28.49 in any six,$170.94 per case of 6,Barossa Valley,750mL,8.6,Shiraz,Dry,South Australia,$29.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
79,14.5% (2012),Balnaves,Screw Cap,Australia,2012*,Cabernet Merlot,$26.59 in any six,$30.99 per bottle,Coonawarra,750mL,8.6 (2012),Cabernet Merlot,Dry,South Australia,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,,,,,,
