,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Style,Region,Price Option 4,Vegan Friendly,Price Option 5,Organic,Langtons Classified,Wine Body
76,12.5%,De Bortoli,Screw Cap,Australia,2017*,Windy Peak Sauvignon Blanc Semillon,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Victoria,Sauvignon Blanc Semillon,Dry,,,true,,,,
77,12.5%,Leo Buring,Screw Cap,Australia,2017*,Leonay Riesling,$32.29 in any six,$193.74 per case of 6,$33.99 per bottle,Awards: Trophy and Gold Medal: Royal Queensland Wine Show 2014,750mL,7.4,South Australia,Riesling,Dry,Clare Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Excellent,
78,11.5%,Warburn,Screw Cap,Australia,2018*,Premium Reserve Pinot Grigio,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,,Pinot Grigio,Dry,,,,,,,
79,12.5% (2017),Warburn,Screw Cap,Australia,2016*,Rumours Chardonnay,$5.25 in any six,$31.50 per case of 6,$5.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2017),,Chardonnay,Dry,,,,,,,
80,13.5%,Yalumba,Screw Cap,Australia,2017*,Eden Valley Viognier,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Viognier,Dry,Eden Valley,,true,,,,
81,13.5%,Brown Brothers,Screw Cap,Australia,2015,Patricia Chardonnay,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"Awards: 3 Trophies - National Corporate Group, Canberra National 2016, Rutherglen Wine Show, Canberra National  2016, The George Fairbrother Memorial 2014. 8 Gold - 2016 Royal Melbourne Wine Show, 2016 Royal Hobart Wine Show, 2016 Canberra National Wine Show, 201",750mL,8,Victoria,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 7 of 71 Chardonnay from Yarra Valley,,,
82,13.0% (2015),Stella Bella,Screw Cap,Australia,2015*,Sauvignon Blanc,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Western Australia,Sauvignon Blanc,Dry,Margaret River,Ranked 14 of 18 Sauvignon Blanc from Margaret River,,,,,
83,13%,Vasse Felix,Screw Cap,Australia,2017*,Chardonnay,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Western Australia,Chardonnay,Dry,Margaret River,Ranked 7 of 61 Chardonnay from Margaret River,,,,,
84,13.5%,Grosset,Screw Cap,Australia,2016*,Piccadilly Chardonnay,$65.60 in any six,$787.20 per case of 12,$68.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Chardonnay,Dry,Adelaide Hills,Ranked 35 of 64 Chardonnay from Adelaide Hills,,,,,
85,12.0% (2017),Longview,Screw Cap,Australia,2017*,Whippet Sauvignon Blanc,$18.05 in any six,$107.10 per case of 6,$18.99 per bottle,"Awards: 3 Gold - Sydney Royal Wine Show 2014, Royal National Wine show of Australia 2013, Royal Adelaide Wine Show 2013.",750mL,7.1 (2017),South Australia,Sauvignon Blanc,Dry,Adelaide Hills,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 24 of 43 Sauvignon Blanc from Adelaide Hills,,,
