,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Vegan Friendly,Langtons Classified,Organic
14,14.0% (2015),Cuppa Cup,Screw Cap,Australia,2015*,Malbec,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,8.3 (2015),South Australia,Malbec,,Dry,,,,
15,14.5%,Kilikanoon,Screw Cap,Australia,2014*,Oracle Shiraz,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,
16,14.5% (2009),Blackjack,Screw Cap,Australia,2009*,Block 6 Shiraz,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 53 Shiraz from Central Victoria,Bendigo,750mL,8.6 (2009),Victoria,Shiraz,Full Bodied,Dry,,,,
17,14%,Leconfield,Screw Cap,Australia,2017*,Merlot,$19.95 in any six,$119.70 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,
18,,,,,,Unknown,,,,,,,,,,,,,,,,
19,14%,Elephant In The Room,Screw Cap,Australia,2018*,Merlot,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,8.3,South Australia,Merlot,Medium Bodied,,,,,
20,14.5% (2015),Blass,Screw Cap,Australia,2015*,Noir Shiraz,$19.88 in any six,$119.28 per case of 6,$19.88 per bottle,"Awards: Gold Medal - 2017 San Francisco International Wine Competition, Silver Medal - San Francisco International Wine Competition 2016. Winner - World's greatest Shiraz Competition $30-$35 Category - IWC 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,,,,
21,14,Nature's Steps,Screw Cap,Australia,2017,Shiraz,$13.00 per bottle,$78.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,,Shiraz,Full Bodied,,,true,,
22,14.7-15.5%,Domaine Asmara,,Australia,,Mixed Reserve Cabernet and Shiraz Twin Pack,$78.00 per pack of 2,,,,,Heathcote,750mL x 2,8.7,Victoria,Shiraz and Cabernet,,,,,,
23,14.5%,Wirra Wirra,Screw Cap,Australia,2011,RSW Shiraz 2011,$75.90 in any six,$455.40 per case of 6,$79.90 per bottle,"Awards: Decanter World Wine Awards, 2014: Commended 
International Wine Challenge, 2014: Silver 
International Wine & Spirit Competition, 2013: Bronze",,McLaren Vale,750mL,8,South Australia,Shiraz,,,,,,
24,13.0% (2015),Wedgetail Valley,Screw Cap,Australia,2015*,Pinot Noir,$25.65 in any six,$307.80 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8 (2015),Victoria,Pinot Noir,Light Bodied,Dry,,,,true
25,14.5%,Teusner,Screw Cap,Australia,2016*,The Dog Strangler Mataro,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Mourvèdre,,Dry,,,,
26,14.80%,Two Hands,Screw Cap,Australia,,Gnarly Dudes Shiraz 2012,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,Ranked 53 of 153 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,,
27,14.0% (2012),Evans & Tate,Screw Cap,Australia,2012*,Redbrook Shiraz,$37.05 in any six,$222.30 per case of 6,$38.99 per bottle,"Awards: 2 Trophies - Best Mature Red 2017 Sydney Royal Wine Show, Margaret River Wine Show 2014. 2 Gold Medals - 2017 Sydney Royal Wine Show, Adelaide Wine Show 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2012),Western Australia,Shiraz,Full Bodied,Dry,Ranked 1 of 37 Shiraz from Margaret River,,,
28,14.5%,Shottesbrooke,Screw Cap,Australia,2015*,Shiraz,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"Awards: Gold Medal - Mundus Vini 2018,
Gold Medal - New York World Wine & Spirit Competition 2018,
Blue Gold Medal at the 2018 Sydney International WineCompetition (2015 Vintage)","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 91 of 95 Shiraz from McLaren Vale,,,
29,14.5% (2014),St John's Road,Screw Cap,Australia,2014*,Workhorse Shiraz Cabernet,$18.99 in any six,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 22 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6 (2014),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
30,14.4%,I Am George,Screw Cap,Australia,2015*,George The Wizard Barossa Shiraz,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,,
31,14.00%,Brands Laira,Screw Cap,Australia,2012,171 Cabernet Sauvignon 2012,Delivery Offer$68.90 per bottle,$71.30 in any six,$423.00 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 9 of 54 Cabernet Sauvignon from Coonawarra,,,
32,14.00%,Chapel Hill,Screw Cap,Australia,,Cabernet Sauvignon 2009,$38.99 per bottle,$444.60 per case of 12,$37.05 in any six,Ranked 20 of 27 Cabernet Sauvignon from McLaren Vale,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
33,14.5%,Amelia Park,Screw Cap,Australia,2016*,Cabernet Merlot,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,Awards: Gold Medal & Trophy - Qantas Wine Show of Western Asutralia 2015; Gold Medal - Royal Melbourne Wine Awards 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
34,14.50%,Chapel Hill,Screw Cap,Australia,,The Chosen Cabernet Sauvignon 2011,$73.15 in any six,$434.25 per case of 6,$76.99 per bottle,Ranked 20 of 35 Cabernet Sauvignon from McLaren Vale,,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
35,14.5%,Serafino,Screw Cap,Australia,2016*,Shiraz,$24.99 per bottle,$142.80 per case of 6,$23.80 in any six,"Awards: 3 Gold Medals - AWC Vienna 2015, NZ International Wine Show 2015, Royal Hobart Wine Show 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 47 of 107 Shiraz from McLaren Vale,,,
36,14.5%,Coriole,Screw Cap,Australia,2016*,Redstone Shiraz,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 92 of 107 Shiraz from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
37,13.5%,Xanadu,Screw Cap,Australia,2015*,Fusion Cabernet Sauvignon,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
38,14.5%,Hay Shed Hill,Screw Cap,Australia,2016*,Shiraz Tempranillo,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Shiraz Tempranillo,,Dry,,,,
39,14.5%,Stonyfell,Screw Cap,Australia,2016,The Baton Shiraz Cabernet,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"Awards: Silver Decanter Asia Wine Awards 2018 (2016 vintage)
Trophy Winner - Great Australian Red Challenge 2017 - Best Red $25 and Under.
Gold at 2018 International Wine & Spirit Competition
Gold San Francisco Wine show 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
40,13.5%,Trentham Estate,Screw Cap,Australia,2015*,The Family Nebbiolo,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Murray Darling,750mL,8.0,New South Wales,Nebbiolo,Full Bodied,Dry,,,,
41,14%,Tim Adams,Screw Cap,Australia,2014*,Shiraz,$23.75 in any six,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 22 of 35 Shiraz from Clare Valley,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
42,14.50%,Brand's Laira,Cork,Australia,2013,Stentifords Old Vine Shiraz 2013,Delivery Offer$64.90 per bottle,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
43,14%,Hay Shed Hill,Screw Cap,Australia,2015*,Cabernet Sauvignon,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 44 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
