,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 4,Langtons Classified,Vegan Friendly
59,14.00%,First Drop,Screw Cap,Australia,Half and Half Shiraz Monastrell,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Barossa Valley,750mL,8.3,South Australia,Shiraz Blends,Full Bodied,Dry,2013*,,,
60,14.00%,Mount Pleasant,Screw Cap,Australia,Rosehill Shiraz 2009,$37.88 per bottle,Ranked 10 of 46 Shiraz from Lower Hunter,,,Hunter Valley,750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,,,,
61,14.0% (2014),Elderton,Screw Cap,Australia,Merlot,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3 (2014),South Australia,Merlot,Medium Bodied,Dry,2014*,,,
62,13.50%,St Hallett,Screw Cap,Australia,Old Block Shiraz 2010,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,Ranked 4 of 141 Shiraz from Barossa Valley,Barossa,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2010,,Excellent,
63,14.5% (2012),Vasse Felix,Screw Cap,Australia,Heytesbury Cabernets,$75.99 in any six,$455.94 per case of 6,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2012),Western Australia,Cabernet Blends,,Dry,2012*,Ranked 5 of 50 Cabernet Sauvignon from Margaret River,Outstanding,
64,15%,Torbreck,Cork,Australia,The Laird Shiraz 2013,$749.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 129 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,2013,,,
65,14.50%,Mount Langi Ghiran,Screw Cap,Australia,Billi Billi Shiraz 2010,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,,Grampians,750mL,8.7,Victoria,Shiraz,Full Bodied,Dry,,,,
66,14.00%,Elderton,Cork,Australia,Command Shiraz 1995,$139.99 per bottle,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,1995,,Excellent,
67,14.0%,Longview,Screw Cap,Australia,Red Bucket Shiraz Cabernet,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,"Awards: Blue Gold - Sydney International Wine Competition 2013, 2 Gold - National Wine show of Australia 2013, New Zealand International Wine Show 2013",Adelaide Hills,750mL,8.3,South Australia,Shiraz Cabernet,Full Bodied,Dry,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
68,14.50%,Evans & Tate,Screw Cap,Australia,Metricup Road Cabernet Merlot 2012,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,Awards: Gold Medal - Rutherglen Wine Show 2014,Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Ranked 30 of 50 Cabernet Sauvignon from Margaret River,,
69,13.50%,Petaluma,,Australia,Coonawarra 2003,$79.99 per bottle,,,,Coonawarra,750mL,8,South Australia,Cabernet Blends,,Dry,2003,,Excellent,
70,14.5%,Hares Chase,Cork,Australia,Ironscraper Shiraz 2013,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2013,,,
71,15.5% (2013),Woodstock,Screw Cap,Australia,The Stocks Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 31 of 108 Shiraz from McLaren Vale,,,McLaren Vale,750mL,9.2 (2013),South Australia,Shiraz,Full Bodied,Dry,2013*,,,
72,14.5% & 13.0%,Krondorf,Screw Cap,Australia,Shiraz & Chardonnay Gift Pack,$25.99 per pack,"Awards: 2 Gold - International Wine & Spirits Competition London 2012, Perth Royal Wine Show 2012",,,Barossa Valley,750mL,8.6 & 7.7,South Australia,,Full Bodied,,,,,
73,13.5% (2015),Chartley Estate,Screw Cap,Australia,Black Crow Pinot Noir,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,750mL,8.0 (2015),Tasmania,Pinot Noir,Light Bodied,Dry,2015*,,,
74,14.0% (2015),Fallen Giants,Screw Cap,Australia,Cabernet Sauvignon,$16.88 in any six,$101.28 per case of 6,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2015),Victoria,Cabernet Sauvignon,Full Bodied,Dry,2015*,Ranked 31 of 34 Cabernet Sauvignon from Victoria,,
75,14.5%,Hares Chase,Cork,Australia,Ironscraper Shiraz 2013,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2013,,,
76,15.5% (2013),Woodstock,Screw Cap,Australia,The Stocks Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 31 of 108 Shiraz from McLaren Vale,,,McLaren Vale,750mL,9.2 (2013),South Australia,Shiraz,Full Bodied,Dry,2013*,,,
77,14.5% (2014),Jamiesons Run,Screw Cap,Australia,Limestone Coast Shiraz,$9.88 in any six,$59.28 per case of 6,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,2014*,,,
78,14.00%,Annie's Lane,Screw Cap,Australia,Cabernet Merlot 2005,$16.90 in any six,$101.40 per case of 6,$17.90 per bottle,,Clare Valley,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,2005,,,
79,13.50%,Barwang,Cork,Australia,Cabernet Sauvignon 2003,$20.89 in any six,$248.05 per case of 12,$21.99 per bottle,,Hilltops,750mL,8,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,2003,,,
80,13.0% (2013),Gembrook Hill,Screw Cap,Australia,Villages Pinot Noir,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2013),Victoria,Pinot Noir,Light Bodied,Dry,2013*,,,
81,14.0% (2012),All Saints,Screw Cap,Australia,Durif,$15.88 in any six,$95.28 per case of 6,$15.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,8.3 (2012),Victoria,Durif,,Dry,2012*,,,
82,13.5% (2014),Gentleman's Agreement,Screw Cap,Australia,Barossa Shiraz,$15.10 in any six,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.0 (2014),South Australia,Shiraz,Full Bodied,Dry,2014*,,,
83,14.00%,Annie's Lane,Screw Cap,Australia,Cabernet Merlot 2005,$16.90 in any six,$101.40 per case of 6,$17.90 per bottle,,Clare Valley,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,2005,,,
84,13%,Clonakilla,Screw Cap,Australia,Hilltops Shiraz 2012,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,Ranked 12 of 17 Shiraz from Southern New South Wales,Hilltops,750mL,7.7,,,Full Bodied,Dry,2012,,,
85,13.60%,Wendouree,Cork,Australia,Shiraz 1998,$249.99 per bottle,Ranked 15 of 21 Shiraz from South Australia,,,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,1998,,Exceptional,
86,13.5% (2013),Mount Pleasant,Screw Cap,Australia,Maurice O'Shea Shiraz,$199.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 48 Shiraz from Lower Hunter,,Hunter Valley,750mL,8 (2013),New South Wales,Shiraz,Full Bodied,Dry,2013*,,Excellent,
87,14.50%,Penfolds,Screw Cap,Australia,Bin 138 Shiraz Grenache Mataro 2011,Ranked 16 of 26 Shiraz from South Australia,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Grenache Mataro,,Dry,,,,
88,14%,Patrick of Coonawarra,Screw Cap,Australia,Estate Cabernet Sauvignon,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Wrattonbully,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2014*,Ranked 4 of 33 Cabernet Sauvignon from Coonawarra,,
89,13.5% (2011),Logan,Screw Cap,Australia,Apple Tree Flat Shiraz,$10.45 in any six,$126.00 per case of 12,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2011),New South Wales,Shiraz,Full Bodied,Dry,2011*,Ranked 6 of 19 Shiraz from Central Ranges,,
