,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Style,Current Vintage,Price Option 2,Price Option 3,Price Option 4,Organic,Wine Body,Price Option 5
13,13.50,Riverbank Estate,Screw Cap,Australia,REBELLIOUS Verdelho 2017,$25.00 per bottle,$300.00 per case of 12,Swan Valley,750ml,8,Western Australia,Verdelho,,Semi Dry,,"Awards: Silver - Singapore Airlines Swan Valley Wineshow 2017
Silver - Wine Show of WA 2017
Bronze - Perth Royal Wine Awards 2017
Bronze - Blackwood Valley Boutique Wineshow 2017
Bronze - Australian Small Winemakers Show 2017",,,,,
14,12.5,Artwine,Screw Cap,Australia,Madame V.Viognier,$26.00 per bottle,$132.00 per case of 6,Clare Valley,750ml,7.4,South Australia,Viognier,true,Dry,,"Awards: GOLD Medal Royal Melbourne Wine Show 2018
GOLD Medal Australian Alternative Varieties Wine Show 2018.
SILVER Royal Adelaide Wine Show 2018
Bronze Medal Boutique Wine Awards 2018
Bronze Medal Small Vignerons Awards 2018",,,,Light Bodied,
15,13.5%,Journey Wines,Screw Cap,Australia,2017 Yarra Valley Chardonnay,$38.00 per bottle,$228.00 per case of 6,Yarra Valley,750mL,8.0,Victoria,Chardonnay,true,Dry,2017,,,,,Medium Bodied,
16,12.7%,Captain Hayes,Screw Cap,Australia,Adelaide Hills Sauvignon Blanc 2017,$21.95 per bottle,$131.70 per case of 6,Adelaide Hills,750mL,7.5,South Australia,Sauvignon Blanc,,Dry,2017,,,,,Light Bodied,
17,11%,Woodstock,Screw Cap,Australia,Botrytis Semillon 375mL,$18.99 in any six,$227.88 per case of 12,McLaren Vale,375mL,3.3,South Australia,Semillon,,Sweet,2016*,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
18,12.7% (2017),Paracombe,Screw Cap,Australia,Sauvignon Blanc,$21.90 in any six,$262.80 per case of 12,Adelaide Hills,750mL,7.6 (2017),South Australia,Sauvignon Blanc,,Dry,2017*,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
19,13.5%,Rosabrook,Screw Cap,Australia,Margaret River Chardonnay 2016,$24.95 per bottle,$149.70 per case of 6,Western Australia,750mL,8,Western Australia,Chardonnay,,Dry,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
20,12.5,Peacock's Tail,Screw Cap,Australia,Clare Valley Riesling 2015,$18.00 per bottle,$216.00 per case of 12,Clare Valley,750mL,7.4,FRE,Riesling,,Dry,2015,Dry White,,,,,
21,12.8,Towerhill,Screw Cap,Australia,Riesling 'Royale' 2015,$25.00 per bottle,$150.00 per case of 6,Western Australia,750mL,7.6,Western Australia,Riesling,,Riesling,2015,,,,,,
22,12.5,Montara Grampians Wi,Screw Cap,Australia,2017 Montara Grampians Chardonnay,$23.99 per bottle,$287.88 per case of 12,Grampians,750ml,7.7,Victoria,Chardonnay,,Dry,,"Awards: *Silver, Melbourne International Wine Awards",,,,Medium Bodied,
23,12.5%,Montara Grampians Wines,Screw Cap,Australia,2018 Montara Grampians Sauvignon Blanc,$23.99 per bottle,$287.88 per case of 12,Grampians,750ml,8,Victoria,Sauvignon Blanc,,,,,,,,,
24,13,Richard Hamilton,Screw Cap,Australia,Richard Hamilton Signature Adelaide Hills Chardonnay 2015,$30.00 per bottle,$149.00 per case of 6,,750mL,7.7,,Chardonnay,,Chardonnay,2015,Ranked 42 of 57 Chardonnay from Adelaide Hills,,,,,
25,13%,Tomich,Screw Cap,Australia,Winemakers Reserve Sauvignon Blanc 2017,$22.00 per bottle,$132.00 per case of 6,Adelaide Hills,750mL,7.7,,Sauvignon Blanc,,,2017,Ranked 36 of 43 Sauvignon Blanc from Adelaide Hills,,,,,
26,13.5,The Lane Vineyard,Screw Cap,Australia,Adelaide Hills Sauvignon Blanc 2017,$25.00 per bottle,$300.00 per case of 12,Adelaide Hills,750mL,8.3,,Sauvignon Blanc,,,,,,,,,
27,11,Parish Hill Wines,Screw Cap,Australia,Vermentino 2016,$25.00 per bottle,$135.00 per case of 6,Adelaide Hills,750mL,6.5,,Vermentino,,,,,,,,,
28,13.0% (Non Vintage),Tomich Hill,Screw Cap,Australia,Sauvignon Blanc,$16.20 in any six,$96.00 per case of 6,Adelaide Hills,750mL,7.7 (Non Vintage),South Australia,Sauvignon Blanc,,Dry,Non Vintage*,$16.99 per bottle,Awards: Gold Medal - Adelaide Hills Wine Show 2010,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
29,12.0% (2015),Austins & Co.,Screw Cap,Australia,Riesling,$26.60 in any six,$159.60 per case of 6,Geelong,750mL,7.1 (2015),Victoria,Riesling,,Dry,2015*,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
30,12.5%,Mount Majura,Screw Cap,Australia,Chardonnay,$28.50 in any six,$342.00 per case of 12,Canberra District,750mL,7.4,Australian Capital Territory,Chardonnay,,Dry,2017,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 141 of 344 Chardonnay from Australia,,,
31,13.0% (2016),S For,Screw Cap,Australia,Sauvignon Blanc,$7.00 in any six,$42.00 per case of 6,,750mL,7.7 (2016),South Australia,Sauvignon Blanc,,Dry,2016*,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
32,13.2%,Sirromet,Screw Cap,Australia,Vineyard Selection Pinot Gris,$16.20 in any six,$97.20 per case of 6,Granite Belt,750mL,7.8,Queensland,Pinot Gris,,Dry,2017,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
33,12.0% (2009),Yabby Lake,Screw Cap,Australia,Block 1 Chardonnay,$94.99 in any six,$569.94 per case of 6,Mornington Peninsula,750mL,7.1 (2009),Victoria,Chardonnay,,Dry,2009*,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 23 Chardonnay from Mornington Peninsula,,,
34,,,,,Unknown,,,,,,,,,,,,,,,,
35,12.5%,Sandalford,Screw Cap,Australia,Estate Reserve Chardonnay,$22.80 in any six,$136.80 per case of 6,Margaret River,750mL,7.4,Western Australia,Chardonnay,,Dry,2017*,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 48 of 61 Chardonnay from Margaret River,,,
36,12.50%,Howard Park,Screw Cap,Australia,Riesling 2009,$42.99 per bottle,$490.20 per case of 12,Great Southern,750mL,7.4,Western Australia,Riesling,,Dry,,$40.85 in any six,Ranked 3 of 27 Riesling from Great Southern,,,,
37,13.00%,Grosset,Screw Cap,Australia,Watervale Riesling 2010,$64.99 per bottle,,Clare Valley,750mL,7.7,South Australia,Riesling,,Dry,2010,,,,,,
38,13.5%,Levantine Hill,Screw Cap,Australia,Melange Traditionnel Blanc,$76.00 in any six,$456.00 per case of 6,Yarra Valley,750mL,8.0,Victoria,White Blend,,Dry,2014*,$79.99 per bottle,Awards: Gold Medal - China Wine and spirits Awards 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 4 of 40 Sauvignon Blanc from Australia
39,12%,Devlin's Mount,Screw Cap,Australia,Devlin's Mount Semillon Sauvignon Blanc,$48.00 per pack of 6,Awards: BEST VALUE BUY - Winestate Magazine Jul/August 2018,,750mL,7.1,South Australia,Semillon Sauvignon Blanc,,,,,,,,Light Bodied,
40,12.5,Rosabrook,Screw Cap,Australia,Sauvignon Blanc Semillon 2018,$19.95 per bottle,$119.70 per case of 6,,750ml,8.6,Western Australia,Sauvignon Blanc Semi,,,2017,,,,,,
41,12%,Trevor Jones,Screw Cap,Australia,Trevor Jones 2015 Eden Valley Riesling,$84.00 per pack of 3,$150.00 per case of 6,Eden Valley,750mL,7,South Australia,Riesling,,White Varietals,Screw Cap,Dry White,,,,,
42,12.50,McLaren Vale III Ass,Screw Cap,Australia,Sauvage Sauvignon Blanc 2015,$20.00 per bottle,$120.00 per case of 6,McLaren Vale,750mL,7.4,FRE,Sauvignon Blanc,,Dry,Screw Cap,Dry White,,,,,
43,12,Haselgrove,Screw Cap,Australia,First Cut Pinot Grigio 2016,$62.36 per pack of 2,$374.16 per case of 12,,750mL,6.5,,Pinot Grigio,,,2016,,,,,,
44,13.2,Lisa McGuigan,Screw Cap,Australia,Lisa McGuigan Blaec Sauvignon Blanc 2016,$71.56 per pack of 2,$429.36 per case of 12,,750mL,7.8,,White Wine,,,,,,,,,
45,12.5,First Drop,Screw Cap,Australia,Full Fat White 2015,$16.00 per bottle,$90.00 per case of 6,South Australia,750mL,7.4,South Australia,White Blend,,Dry,Screw Cap,Dry White,,,,,
46,12.4,Towerhill,Screw Cap,Australia,Riesling 2008,$38.00 per bottle,$228.00 per case of 6,Western Australia,750mL,7.1,Western Australia,Riesling,,Dry,2008,"Awards: Trophy - Perth Royal Wine Show 2012. 3 Gold Medals - Decanter Asia Wine Awards (Hong Kong) 2013,  Perth Royal Wine Show 2012 and Qantas Wine Show of WA 2010",Ranked 6 of 22 Riesling from Great Southern,,,,
47,13,Label 88,Screw Cap,Australia,Chardonnay 2018,$14.00 per bottle,$84.00 per case of 6,,750mL,8,,Chardonnay,,Chardonnay,2017,,,,,,
48,12,Label 88,Screw Cap,Australia,Pinot Grigio 2018,$14.00 per bottle,$84.00 per case of 6,,750mL,7,,Pinot Grigio,,Dry,2017,,,,,,
49,12%,Punt Road,Crown Seal,Australia,Vintage Sparkling Chardonnay Pinot Noir,$34.49 per bottle,$230.94 per case of 6,Yarra Valley,750mL,7.1,Victoria,Pinot Noir Chardonnay,,Dry,,,,,,Light Bodied,
50,13%,Shadowfax,Screw Cap,Australia,Pinot Gris,$29.99 per bottle,$179.94 per case of 6,Macedon Ranges,750mL,7.7,Victoria,Pinot Gris,,Dry,,,,,,Light Bodied,
51,13%,Yeringberg,Screw Cap,Australia,Viognier,$46.99 per bottle,$281.94 per case of 6,Yarra Valley,750mL,7.7,Victoria,Viognier,,Dry,,,,,,Medium Bodied,
52,,,,,Unknown,,,,,,,,,,,,,,,,
53,12,Kellermeister,Screw Cap,Australia,Barossa Vineyards Sauvignon Blanc,$25.00 per bottle,$150.00 per case of 6,Barossa Valley,750mL,7.1,,Sauvignon Blanc,,,2014,Awards: Silver (91 pts) Wine showcase 2015,,,,,
54,13,Beelgara Sparkling,Screw Cap,Australia,Moscato Frizzante 2017,$12.99 per bottle,$71.94 per case of 6,NSW,750mL,7.7,,Moscato Frizzante,,,2016,,,,,,
55,11\t,"JT, The Patriarch",Cork,Australia,Pinot Noir Chardonnay Pinot Meunier,$26.99 per bottle,$155.94 per case of 6,"Coonawarra, SA",750mL,6.5,,Pinot Noir Chardonna,,,,,,,,,
