,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
102,14,Wirrega Vineyards,Screw Cap,Australia,,,Runaway Tempranillo 2016,$16.00 per bottle,Limestone Coast,750mL,8.3,,Tempranillo,Full Bodied,Dry,$96.00 per case of 6,,,,,
103,14,Lisa McGuigan,Screw Cap,Australia,2015,,Silver Barossa Shiraz 2015,$57.78 per bottle,,750mL,8.3,,Red Wine,Full Bodied,,$173.34 per case of 6,,,,,
104,14%,Palmarium,Screw Cap,Australia,2010,,Exemplar Shiraz Twin Pack,$270.00 per case of 2,,750mL,8.3,,Shiraz,Full Bodied,Shiraz,,,,,,
105,14,Willandra,Screw Cap,Australia,,,Reserve Shiraz,$25.00 per bottle,Langhorne Creek,750mL,8.3,,Shiraz,Full Bodied,,$127.50 per case of 6,Ranked 38 of 123 Shiraz from Fleurieu,,,,
106,14.5,Willandra,Screw Cap,Australia,,,Premium Shiraz,$18.00 per bottle,Langhorne Creek,750mL,8.6,,Shiraz,Full Bodied,,$91.80 per case of 6,Awards: Gold Medal - China Wine & Spirit Awards Best Value,Ranked 101 of 109 Shiraz from Fleurieu,,,
107,14.5%,Shingleback,Screw Cap,Australia,,,The Gate Shiraz 2016,$34.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$209.94 per case of 6,"Awards: GOLD MEDAL:

2018 Selections Mondiales des Vins, Canada
2018 International Wine Challenge, Vienna
SILVER MEDAL:

2017 New Zealand International Wine Show, class 18a
2018 Melbourne International Wine Competition
2018 Sydney Royal Wine Show, class 34
2018 NZ International Wine Show, class 18a
2018 McLaren Vale Wine Show, class 12
2018 Great Australian Shiraz Challenge

95 pts: 2019 James Halliday Wine Companion",,,,
108,14%,Montara Grampians Wines,Screw Cap,Australia,,,Cabernet Sauvignon 2015,$23.99 per bottle,Grampians,750ml,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,$287.88 per case of 12,"Awards: Gold- Melbourne International Wine Competition 
93* James Halliday",,,,
109,13%,Toorak Estate,,Australia,,,Shiraz,$8.85 per bottle,Riverina,750mL,7.70,New South Wales,Shiraz,,,$106.19 per case of 12,,,,,
110,15%,HAAN,,Australia,,,Prestige Merlot,$64.39 per bottle,Barossa Valley,750mL,8.89,South Australia,Merlot,,,$386.33 per case of 6,,,,,
111,14%,Palmarium,Screw Cap,Australia,2010,,Exemplar Shiraz Twin Pack,$270.00 per case of 2,,750mL,8.3,,Shiraz,Full Bodied,Shiraz,,,,,,
112,14,Willandra,Screw Cap,Australia,,,Reserve Shiraz,$25.00 per bottle,Langhorne Creek,750mL,8.3,,Shiraz,Full Bodied,,$127.50 per case of 6,Ranked 38 of 123 Shiraz from Fleurieu,,,,
113,15.00%,Wolf Blass,Screw Cap,Australia,2006,Outstanding,Platinum Label Shiraz 2006,$161.49 in any six,,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$968.94 per case of 6,$169.99 per bottle,"Awards: Trophy - China Wine Challenge 2013. Double Gold - San Francisco International Wine Competition. 14 Gold Medals - International Wine Challenge 2015, Decanter Asian Wine Awards 2014, Barossa Wine Show 2014, International Wine Challenge 2014, China Wine Chal",Ranked 72 of 120 Shiraz from Barossa Valley,,
114,14.00%,Frankland Estate,Cork,Australia,,,Olmo's Reward 2007,$56.10 in any six,Frankland River,750mL,8.3,Western Australia,Red Blend,,Dry,$333.00 per case of 6,$58.99 per bottle,,,,
115,13.00%,Wynns,Screw Cap,Australia,2014,,Johnson's Block Cabernet Sauvignon 2014,$61.80 in any six,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$370.80 per case of 6,$64.99 per bottle,Ranked 1 of 33 Cabernet Sauvignon from Coonawarra,,,
116,13.5% (2012),Lark Hill,Screw Cap,Australia,2012*,,Biodynamic Shiraz Viognier,$42.80 in any six,Canberra District,750mL,8 (2012),Australian Capital Territory,Shiraz Viognier,,Dry,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,true
117,13.5,Parish Hill Wines,Screw Cap,Australia,,,Nero D'Avola Amphora 2015,$35.00 per bottle,Adelaide Hills,750mL,8,,Nero D'Avola,,,$180.00 per case of 6,,,,,
118,14.8% (2009),Stockman's Ridge,Screw Cap,Australia,2009*,,Outlaw Shiraz,$34.19 in any six,Orange,750mL,8.8 (2009),New South Wales,Shiraz,Full Bodied,Dry,$410.28 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 21 Shiraz from Central Ranges,,
119,14.50%,Torbreck,Cork,Australia,2004,Exceptional,RunRig Shiraz 2004,$315.00 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 1 of 39 Shiraz from South Australia,,,,,
