,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Organic,Vegan Friendly,Langtons Classified,Price Option 5
100,13.5%,Cullen,Screw Cap,Australia,2017*,Cabernet Merlot,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
101,15%,Yarnbomb,Screw Cap,Australia,2017*,McLaren Vale Shiraz,$22.99 per bottle,$131.40 per case of 6,$21.90 in any six,Awards: Gold Medal - International Wine Challenge London 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
102,14.5% (2016),Some Young Punks,Screw Cap,Australia,2016*,Passion Has Red Lips Red,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6 (2016),South Australia,Shiraz Cabernet,,Dry,,,,
103,14.5%,Oliver's Taranga Vineyards,Screw Cap,Australia,2015*,HJ Reserve Shiraz,$50.35 in any six,$302.10 per case of 6,$52.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
104,13.0%,Gossips,Screw Cap,Australia,2018*,Durif,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,,Durif,,Dry,,,,
105,13.5%,Cockatoo Ridge,Screw Cap,Australia,2017*,Shiraz 1L,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,1L,10.7,South Australia,Shiraz,Full Bodied,Dry,,,,
106,14.8%,Lethbridge,Screw Cap,Australia,2017*,Ménage a Noir Pinot Noir,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Geelong,750mL,8.3,Victoria,Pinot Noir,Light Bodied,Dry,,,,
107,13%,De Bortoli,Screw Cap,Australia,2016,Bella Riva King Valley Rosé,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,,Sangiovese,Light Bodied,Dry,,,,
108,14.5%,Swings & Roundabouts,Screw Cap,Australia,2015*,Shiraz,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 26 Shiraz from Margaret River,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,,
109,14.3%,St Johns Brook,Screw Cap,Australia,2015*,Single Vineyard Cabernet Sauvignon,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,Awards: Gold Medal - China Wine & Spirits Awards 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.5,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
