,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Organic,Price Option 5,Vegan Friendly
12,13.5% (2013),Dalwhinnie,Cork,Australia,2013*,Outstanding,Eagle Shiraz,$156.80 in any six,$940.80 per case of 6,$164.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 18 Shiraz from Pyrenees,750mL,8.0 (2013),Victoria,Shiraz,Full Bodied,Dry,Pyrenees,,,
13,14.00%,Mount Langi Ghiran,Cork,Australia,2000,Excellent,Langi Shiraz 2000,$149.99 per bottle,,,,,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Grampians,,,
14,14.5,Veronique,Screw Cap,Australia,,,2014 Cabernet Sauvignon,$19.99 per bottle,$239.88 per case of 12,,,,750mL,8.6,,Cabernet Sauvignon,,,Barossa Valley,,,
15,14.5%,Three Kangaroos,Cork,Australia,,,'Hill Side' Cabernet Shiraz 2016,$80.00 per bottle,$480.00 per case of 6,,,,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,Barossa Valley,,,
16,13%,Onannon,Screw Cap,Australia,,,Rosé,$28.49 per bottle,$170.94 per case of 6,,,,750mL,7.7,Victoria,"Cabernet Sauvignon, Merlot",Light Bodied,,Yarra Valley,,,
17,14.1%,Stockman's Ridge Wine,Screw Cap,Australia,,,Rider Merlot Cabernet Franc,$25.00 per bottle,$300.00 per case of 12,,,,750mL,8.3,New South Wales,Merlot Cabernet Franc,Medium Bodied,Dry,Orange,,,
18,14.50%,Bendbrook,Screw Cap,Australia,,,Goat Track  Reserve Shiraz,$58.99 per bottle,$336.60 per case of 6,Awards: 2018  WineState Show 5 Stars      Top of Class,,,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Adelaide Hills,,,
19,14.2%,Secret Selection,Screw Cap,Australia,2016,,Beechworth Shiraz Sangiovese 2016,Online Offer$18.90 per bottle,$39.99 in any six,$228.00 per case of 6,$38.00 per bottle,,750mL,8.4,Victoria,,,,Beechworth,,,
20,14,Artiste,Screw Cap,Australia,,,Pinot Noir 2015,$24.00 per bottle,$110.00 per case of 6,,,,750mL,8.3,,Pinot Noir,,,Eden Valley,,,
21,14.5,Veronique,Screw Cap,Australia,,,2014 Cabernet Sauvignon,$19.99 per bottle,$239.88 per case of 12,,,,750mL,8.6,,Cabernet Sauvignon,,,Barossa Valley,,,
22,14.5%,Three Kangaroos,Cork,Australia,,,'Hill Side' Cabernet Shiraz 2016,$80.00 per bottle,$480.00 per case of 6,,,,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,Barossa Valley,,,
23,13.2%,Stockman's Ridge Wine,Screw Cap,Australia,,,Handcrafted Pinot Noir 2015,$30.00 per bottle,$360.00 per case of 12,"Awards: 91 points James Halliday Wine Companion, 5 stars - WIneState Annual Pinot Noir Wine Awards 2017, Bronze medal - Carins Wine Show 2017, Bronze medal - Cowra Wine Show 2017, Bronze medal - Rutherglen Wine Show 2017, Bronze medal - Australian Highlands Wine Show 2017, Bronze medal - National Cool Climate Wine Show 2017,",,,750mL,7.8,New South Wales,Pinot Noir,Light Bodied,Dry,Orange,,,
24,13.00%,Mount Mary,Cork,Australia,,Exceptional,Quintet 2008,$375.00 per bottle,,,,,1.5L,15.4,Victoria,Cabernet Blends,,Dry,Yarra Valley,,,
25,14.5%,Henry's Drive,,Australia,,,Shiraz/Cabernet Sauvignon,$40.00 per bottle,$240.00 per case of 6,"Awards: Gold - 2015 Limestone Coast Wine Show
Silver - 2015 Royal Adelaide Wine Show",,,750mL,8.6,South Australia,Shiraz/Cabernet Sauvignon,,Dry,Padthaway,,,
