,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
80,14.5%,Mitolo,Screw Cap,Australia,2016*,The Nessus Shiraz,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
81,12.9% (2015),McCrae Mist,Screw Cap,Australia,2015*,Pinot Noir,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.6 (2015),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
82,12.5,Riot Wine Co,Can Closure,Australia,,Rosé - Grenache Sangiovese ,$9.00 per can,$84.99 per case of 12,,,McLaren Vale,3L,2.5,South Australia,Grenache Sangiovese,Light Bodied,Dry,,,,true,
83,14.5%,Heartland,Screw Cap,Australia,2014*,Cabernet Sauvignon,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
84,14,Stormy Creek,Cork,Australia,2016,Shiraz 2016,Delivery Offer$78.00 per case of 6,$15.00 per bottle,$84.00 per case of 6,,South Australia,750ml,8.3,South Australia,Shiraz,Full Bodied,,,,,,
85,14%,Bird In Hand,Screw Cap,Australia,2017*,Two in the Bush Shiraz,$21.80 in any six,$130.80 per case of 6,$22.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.3,,Shiraz,,,,,,,
86,14.5%,Kalleske,Screw Cap,Australia,2015*,Eduard Shiraz,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,true
87,13.50%,Wendouree,Cork,Australia,,Shiraz Malbec 1997,$124.99 per bottle,,,,Clare Valley,750mL,8,South Australia,Shiraz Malbec,,Dry,,Outstanding,,,
88,15%,Torbreck,Cork,Australia,2015*,Descendant Shiraz Viognier,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9,South Australia,Shiraz Viognier,,Dry,Ranked 10 of 15 Shiraz from Barossa Valley,Excellent,,,
89,14.5%,Pig In The House,Screw Cap,Australia,2016*,Shiraz,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"Awards: Gold Medal - Royal Melbourne Show 2017, Trophy Best Organic - Royal Melbourne Show 2017, Gold Medal - Royal Sydney Show 2018, Gold Medal CWSA Hong Kong International Wineshow 2018",,750mL,8.6,New South Wales,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,true
90,13%,Tomboy Hill,Screw Cap,Australia,2015*,The Tomboy Pinot Noir,$78.90 in any six,$946.80 per case of 12,$82.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ballarat,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
91,14.0% (2014),Passing Clouds,Cork,Australia,2014*,The Angel,$40.85 in any six,$490.20 per case of 12,$42.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Macedon Ranges,750mL,8.3 (2014),Victoria,Red Blend,,Dry,,,,,
92,14%,Thorn-Clarke,Screw Cap,Australia,2017*,Sandpiper Merlot,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,,
93,14%,Katnook Estate,Screw Cap,Australia,2016*,Merlot,$34.19 in any six,$205.14 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,,
94,12.8%,Bone Dry Drinks,Screw Cap,Australia,,Bone Dry Rosé 2018 Magnum 1.5L,Member Offer$48.00 per bottle,$60.00 per bottle,$180.00 per pack of 4,,Mudgee,1500mL,15.6,New South Wales,Rosé,Light Bodied,Dry,,,,,
95,14.00%,Parker Coonawarra Estate,Cork,Australia,2000,First Growth Cabernet Blend 2000,$119.99 per bottle,,,,Coonawarra,750mL,8.3,South Australia,Cabernet Blends,,Dry,,Excellent,,,
96,14.00%,Cape Mentelle,Screw Cap,Australia,2007,Cabernet Sauvignon 2007,$119.99 per bottle,Ranked 22 of 49 Cabernet Sauvignon from Margaret River,,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Outstanding,,,
97,13.70%,Wendouree,Cork,Australia,1998,Shiraz Mataro 1998,$119.99 per bottle,,,,Clare Valley,750mL,8,South Australia,Shiraz Mourvèdre,,Dry,,Outstanding,,,
98,14.5%,Vandenberg,Screw Cap,Australia,2017*,Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,8.6,,Shiraz,Full Bodied,,,,,,
99,14%,Seppelt,Screw Cap,Australia,2017*,The Great Entertainer Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.4,Victoria,Shiraz,,,,,,,
100,13.4%,Happs Estate,Screw Cap,Australia,,Preservative Free Red 2017,$22.00 per bottle,$237.60 per case of 12,,,Margaret River,750ml,7.9,Western Australia,Blend,Medium Bodied,Dry,,,,true,
101,13.2%,St Hugo,Screw Cap,Australia,,Vetus Purum Cabernet Sauvignon 2010,$237.50 in any six,$950.00 per case of 4,$249.99 per bottle,"Awards: Gold Medal - Royal Adelaide Wine Show
Gold Medal - China Wine & Spirits Awards
Gold Medal - Melbourne Int Wine Competition",Coonawarra,750mL,7.8,South Australia,Cabernet Sauvignon,Medium Bodied,,,,,,
102,14.7%,St Hugo,Cork,Australia,,Vetus Purum Shiraz 2010,$237.50 in any six,$950.00 per case of 4,$249.99 per bottle,,Barossa,750mL,8.7,South Australia,Shiraz,Medium Bodied,,,,,,
103,13%,Off The Grid,Crown Seal,Australia,2016*,Tempranillo 500mL,$6.55 in any six,$78.60 per case of 12,$6.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,500mL,,South Australia,Tempranillo,Full Bodied,Dry,,,,,
104,13.5,Lisa McGuigan,Screw Cap,Australia,,Lisa McGuigan Platinum Adelaide Hills Pinot Noir 2015,$78.46 per pack of 2,$235.38 per case of 6,,,,750mL,8,,Red Wine,Light Bodied,,,,,,
105,13.5,Epic Negociants,Screw Cap,Australia,,Blue Sky Vineyard Cabernet 2017,$18.00 per bottle,$108.00 per case of 6,,,South Australia,750ml,8,,Cabernet Sauvignon,Full Bodied,,,,,,
106,14.5,Zonte's Footstep,Screw Cap,Australia,Screw Cap,Canto di Lago Sangiovese Barbera 2013,$19.95 per bottle,$233.00 per case of 12,Awards: Double Gold Medal - China Wine & Spirits Awards 2015. Gold Medal/90 points - Critics Challenge 2016. Gold Medal - San Diego International Wine Competition 2014,Dry Red,Fleureiu Peninsula,750mL,8.6,FRE,Sangiovese Barbera,Medium Bodied,Dry,,,,,
107,14.00%,Penfolds,Cork,Australia,2000,RWT Barossa Valley Shiraz 2000,$229.99 per bottle,Ranked 10 of 15 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,Outstanding,,,
