,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Current Vintage,Langtons Classified,Price Option 4,Organic
85,14.0%,Marley Farm,Screw Cap,Australia,Adelaide Hills Pinot Noir 2018,$17.99 per bottle,$107.94 per case of 6,Awards: Gold Medal-2018 CWSA(Hong Kong),Adelaide Hills,750mL,8.1,South Australia,Pinot Noir,Medium Bodied,Dry,,,,,
86,2 x 14.5%,Penfolds,Screw Cap,Australia,Bin 407 & Bin 138 2008 Gift Pack,$109.99 per pack,,,,750mL,2 x 8.6,South Australia,,Full Bodied,Dry,,2008,,,
87,13.5,Levantine Hill,Screw Cap,Australia,Estate Syrah 2013,$79.99 per bottle,$480.00 per case of 6,Ranked 18 of 20 Shiraz from Yarra Valley,Yarra Valley,750mL,8,,Syrah,,Dry,,,,,
88,2 x 14.5% (2012),Cat Amongst The Pigeons,Screw Cap,Australia,Twin Pack,$30.00 per pack,,,Barossa Valley,750mL,2 x 8.6 (2012),South Australia,,,Dry,,,,,
89,14,Serafino,Screw Cap,Australia,Bellissimo Primitivo 2015,$22.00 per bottle,$132.00 per case of 6,,McLaren Vale,750mL,8.3,,Primitivo,,,,,,,
90,12.50,Tote Wines,Cask Closure,Australia,Barossa Valley Rose 2017,$29.95 per bottle,$149.70 per case of 6,,Barossa Valley,1.5L,14.80,,Rose,Light Bodied,,,,,,
91,13.9,Schwarz,Screw Cap,Australia,Shiraz 2016,$30.00 per bottle,$180.00 per case of 6,Ranked 68 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.2,,Shiraz,Full Bodied,,,2016,,,
92,14,Epic Negociants,Screw Cap,Australia,Rankins Estate Vineyard Cabernet Sauvignon 2016,$25.00 per bottle,$150.00 per case of 6,,Langhorne Creek,750mL,8.3,,Cabernet Sauvignon,Full Bodied,,,2016,,,
93,13.5,Epic Negociants,Screw Cap,Australia,Semaphore McLaren Vale Shiraz 2017,Awards: *,,,McLaren Vale,750mL,8.3,South Australia,shiraz,Full Bodied,Dry,,,,,true
94,14.5,Signor Vino,Screw Cap,Australia,Signor Vino Sangiovese,$15.00 per bottle,$130.00 per case of 12,,Adelaide Hills,750mL,8.6,,Sangiovese,Medium Bodied,,,2014,,,
95,14.3,Rojomoma,Screw Cap,Australia,Red Art Shiraz 2015,$34.95 per bottle,$209.00 per case of 6,,Barossa Valley,750ml,8.5,,Shiraz,Full Bodied,,,,,,
96,13.5,Four Sisters,Screw Cap,Australia,Shiraz 2012,$13.95 per bottle,$167.40 per case of 12,Dry Red,Central Victoria,750mL,7.8,WNE,Shiraz,Full Bodied,Dry,,Screw Cap,,,
97,14.9,Ulupna,Screw Cap,Australia,Royal Phoenix Shiraz 2016,$55.00 per bottle,$300.00 per case of 6,"Awards: 2017 Winewise Small Vigneron Awards - Silver
2017 Decanter Asia Wine Awards - Bronze, 88 points
2017 Cathay Pacific HKIWSC - Silver (category and food pairing)
2018 Decanter World Wine Awards - Silver, 90 points
2018 Syrah du Monde - Gold
2018 Ultimate Wine Challenge - 89 points
2018 Shanghai International Wine Challenge - Silver
Halliday Wine Companion - 89 points",Goulburn Valley,750ml,8.8,Victoria,Shiraz,,Dry,,,,,
98,14.5% (2006),Pyrenees Ridge,Screw Cap,Australia,Shiraz,$24.99 in any six,$304.49 per case of 12,$26.99 per bottle,Pyrenees,750mL,8.6 (2006),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2006*,,Ranked 20 of 24 Shiraz from Western Victoria,
99,14.2% (2007),Bidgeebong,Screw Cap,Australia,Gundagai Shiraz,$15.19 in any six,$180.39 per case of 12,$15.90 per bottle,Gundagai,750mL,8.4 (2007),New South Wales,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2007*,,,
100,14.50%,Penfolds,Cork,Australia,Bin 707 Cabernet Sauvignon 1996 Magnum 1.5L,$544.99 per bottle,,,,1.5L,17,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1996,Exceptional,,
101,13,Hart of the Barossa,Screw Cap,Australia,Soul Mate Ros&eacute;,$20.00 per bottle,$120.00 per case of 6,,Barossa Valley,750mL,8,,Shiraz,Light Bodied,,,,,,true
102,14%,Gapsted Wines,Screw Cap,Australia,Tobacco Road Pinot Noir 2017,$14.99 per bottle,$150.00 per case of 12,"Awards: Silver Award, Rutherglen Wine Show, 2018",King Valley,750mL,8.3,Victoria,Pinot Noir,,,,,,,
103,14.5,Yering Station,Screw Cap,Australia,Reserve Shiraz Viognier 2012,$90.00 per bottle,$540.00 per case of 6,,,750mL,,,Shiraz Viognier,,Dry,,,,,
104,13,Helen & Joey Estate,Screw Cap,Australia,Layla Cabernet Merlot 2014,$25.00 per bottle,$150.00 per case of 6,,Yarra Valley,750mL,7.7,,Cabernet Merlot,Medium Bodied,Dry,,,,,
105,,Rolling,Screw Cap,Australia,Sauvignon Blanc Semillon & Cabernet Merlot Gift Pack,$29.99 per pack,,,,750mL,,New South Wales,,Medium Bodied,,,,,,
106,14.5% (2008),Grant Burge,Screw Cap,Australia,Barossa Vines Shiraz,$13.29 in any six,$78.90 per case of 6,$13.99 per bottle,Barossa Valley,750mL,8.6 (2008),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2008*,,,
107,14.0% (2012),Preece,Screw Cap,Australia,Cabernet Sauvignon,$7.90 in any six,$47.40 per case of 6,$7.90 per bottle,,750mL,8.3 (2012),Victoria,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2012*,,,
108,13.0% (2009),Fonty's Pool,Screw Cap,Australia,Pinot Noir,$14.19 in any six,$168.09 per case of 12,$14.90 per bottle,Pemberton,750mL,7.7 (2009),Western Australia,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2009*,,,
109,14.5% (2009),Penfolds,Cork,Australia,RWT Barossa Valley Shiraz 2009 Magnum 1.5L,$350.00 per bottle,,,Barossa Valley,1.5L,17.2 (2009),South Australia,Shiraz,Full Bodied,Dry,,2009,Outstanding,,
110,15.0% (2014),Cleanskin,Screw Cap,Australia,GR8 McLaren Vale Shiraz,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,McLaren Vale,750mL,8.9 (2014),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2014*,,,
111,14.50%,Clarendon Hills,Cork,Australia,Hickinbotham Cabernet Sauvignon 2007,$99.90 per bottle,,,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,2006,,,
112,14.0%(2005),Clonakilla,Screw Cap,Australia,Hilltops Shiraz 2005,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hilltops,750mL,8.3(2005),New South Wales,Shiraz,Full Bodied,Dry,,2005,,,
113,14.50%,Torbreck,Cork,Australia,Descendant Shiraz Viognier 2003,$134.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Viognier,,Dry,,2003,Excellent,,
114,14.50%,Torbreck,Cork,Australia,The Factor Shiraz 2004,$99.99 per bottle,Ranked 37 of 64 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,2004,,,
115,13.5% (2012),Saltram,Screw Cap,Australia,Maker's Table Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8 (2012),South Australia,Shiraz,Full Bodied,Dry,,2012*,,,
116,13.5% (2010),Cockatoo Ridge,Screw Cap,Australia,Cabernet Sauvignon Merlot,$6.90 in any six,$41.40 per case of 6,$6.90 per bottle,,750mL,8.0 (2010),South Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,,
117,12.5% (2005),Bass Phillip,Cork,Australia,Village Pinot Noir,$28.49 in any six,$338.29 per case of 12,$29.99 per bottle,Gippsland,750mL,7.4 (2005),Victoria,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2005*,,,
118,14.0% (2010),Pyrenees Ridge,Screw Cap,Australia,Red Shiraz,$10.90 in any six,$130.80 per case of 12,$14.99 per bottle,Pyrenees,750mL,8.3 (2010),Victoria,Shiraz Cabernet,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,,
119,15.0% (2010),Hanging Rock,Screw Cap,Australia,Cambrian Rise Shiraz,$17.90 in any six,$214.80 per case of 12,$17.90 per bottle,Heathcote,750mL,8.9 (2010),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,,
