,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
64,14.5% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Cabernet Merlot,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,Barossa Valley,750mL,8.6 (2015),South Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
65,14.0% (2013),Skillogalee,Screw Cap,Australia,2013*,The Cabernets,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.3 (2013),South Australia,Red Blend,,Dry,,,,,
66,14.4% (2014),Redgate,Screw Cap,Australia,2014*,Bin 588 Cabernet Merlot,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,Margaret River,750mL,8.5 (2014),Western Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
67,13.50%,Penfolds,Cork,Australia,,Grange 1988 Magnum 1.5L,"$1,700.00 per bottle",,,,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,,,
68,14.5% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Cabernet Merlot,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,Barossa Valley,750mL,8.6 (2015),South Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
69,14.00%,Mount Ida,Screw Cap,Australia,2002,Shiraz 2002,$47.50 in any six,$281.95 per case of 6,$49.99 per bottle,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,
70,12.5%,Montara Grampians Wines,Screw Cap,Australia,,Rose 2018,$23.99 per bottle,$287.88 per case of 12,,Grampians,750mL,7.7,Victoria,98% Pinot 2% Riesling,Light Bodied,Semi Dry,,,,,
71,13.50%,Penfolds,Cork,Australia,,Grange 1988 Magnum 1.5L,"$1,700.00 per bottle",,,,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,,,
72,14.5% (2008),Logan,Screw Cap,Australia,2008*,Apple Tree Flat Merlot,$9.49 in any six,$112.69 per case of 12,$9.99 per bottle,,750mL,8.6 (2008),New South Wales,Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 34 of 80 Merlot from Australia,,
73,14.5,Berton Vineyards,Screw Cap,Australia,2017,Reserve Barossa Shiraz 2017,$16.99 per bottle,$90.00 per case of 6,"Awards: Platinum - Best in Show - Best Value Red Rhone Varietal, Gold - Decanter World Wine Awards, Gold - International Wine Challenge (IWC), Gold - China Wine and Spirits Awards",,750mL,8.6,,Shiraz,Full Bodied,,,,,,
74,12.5%,Montara Grampians Wines,Screw Cap,Australia,,Rose 2018,$23.99 per bottle,$287.88 per case of 12,,Grampians,750mL,7.7,Victoria,98% Pinot 2% Riesling,Light Bodied,Semi Dry,,,,,
