,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
10,,,,,,Unknown,,,,,,,,,,,,,,,
11,13.5%,Laventura,,Australia,,Tempranillo,$49.95 per bottle,$599.40 per case of 12,,,750mL,7.9,Tempranillo,,,,,,,,
12,13.0%,Gerard Mugneret,,Australia,,Nuits St Georges 1er cru Les Boudots,$239.95 per bottle,"$2,879.40 per case of 12",,,750mL,7.6,Pinot Noir,,,,,,,,
13,14.50%,Torbreck,Cork,Australia,,Descendant Shiraz Viognier 2006,$154.99 per bottle,,,,750mL,8.6,Shiraz Viognier,,Dry,,Barossa Valley,South Australia,,,
14,14,Devlins Mount,Screw Cap,Australia,2016,Shiraz,$8.00 per bottle,$48.00 per case of 6,,,750mL,8.4,Shiraz,Full Bodied,Dry,,,,,,
15,13,Levantine Hill,Cork,Australia,,Colleen's Paddock Pinot Noir 2015,$200.00 per bottle,"$1,200.00 per case of 6",,,750mL,7.7,Pinot Noir,Light Bodied,Dry,,Yarra Valley,,,,
16,13.2,Barwite,Screw Cap,Australia,2015,Chardonnay 2015,$20.00 per bottle,$120.00 per case of 6,Ranked 168 of 194 Chardonnay from Victoria,,750mL,7.8,Chardonnay,,,,"Upper Goulburn Wine Region (High Country, Victoria",,,,
17,13.7,Atticus,Screw Cap,Australia,,Margaret River Shiraz 2007,$74.99 per bottle,$404.95 per case of 6,,,750mL,8.1,Shiraz,,,,Margaret River,,,,
18,14.5,Artwine,Screw Cap,Australia,,Kelly Surrender Shiraz,$30.00 per bottle,$180.00 per case of 6,"Awards: 4 Stars (Silver) Winestate Magazine Shiraz Challenge 2017
4 Stars (Silver) Winestate Magazine Clare Valley Tasting 2017",,750ml,8.6,Shiraz,Medium Bodied,,,Clare Valley,,true,,
19,14.5,Nugan Estate,Screw Cap,Australia,2007,Matriarch Shiraz 2007,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,
20,14%,Bendbrook,Screw Cap,Australia,2017,Yarn Spinner Shiraz Cabernet,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,,,,,Adelaide Hills,South Australia,,,
21,14%,Gemtree,Cork,Australia,2014*,Obsidian Shiraz,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Awards: Gold - World Wine Championships Awards 2014,750mL,8.3,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 24 of 116 Shiraz from McLaren Vale
22,14.5%,Penfolds,Cork,Australia,2009*,Grange 2009,$750.50 in any six,"$4,503.00 per case of 6",$790.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,,,South Australia,,,
23,14.0%,Wynns,Screw Cap,Australia,,Michael Shiraz 2009,$135.90 in any six,$815.40 per case of 6,$142.99 per bottle,Ranked 3 of 20 Shiraz from Coonawarra,750mL,8.0,Shiraz,Full Bodied,Dry,Outstanding,Coonawarra,South Australia,,,
24,14.000000000000002%,De Bortoli,Screw Cap,Australia,2015*,Single Vineyard Section A8 Yarra Valley Syrah,$44.65 in any six,$267.90 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Shiraz,Full Bodied,Dry,,Yarra Valley,Victoria,,,
25,14.5%,Penfolds,Screw Cap,Australia,2009,Bin 169 Cabernet Sauvignon 2009,$379.10 in any six,"$2,274.60 per case of 6",$399.00 per bottle,,750mL,8.6,Cabernet Sauvignon,,Dry,,Coonawarra,South Australia,,,
26,14.5,Old Jarvie,Screw Cap,Australia,2016,The Even Hand GMS 2016,$29.99 per bottle,$173.94 per case of 6,Ranked 6 of 27 Grenache from McLaren Vale,,750mL,8.6,,,Dry,,,,,,
