,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
96,14.5%,Drop Zone,,Australia,2016,Tempranillo,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Tempranillo,,,,,,,
97,14%,Wise,Screw Cap,Australia,2016*,Cabernet Merlot,$16.20 in any six,$194.40 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Dry,,Medium Bodied,,,,
98,13.00%,Warburn,Cask Closure,Australia,Non Vintage,Premium Cabernet Merlot Cask 4L,$13.99 each,,,,,4L,41,,Cabernet Merlot,Dry,,,,,,
99,14.00%,Hardys,Screw Cap,Australia,,Tintara Cabernet Sauvignon 2011,$31.40 in any six,$186.60 per case of 6,$32.99 per bottle,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
100,14.2% (2014),Hardys,Cork,Australia,2014*,Eileen Hardy Shiraz,$96.90 in any six,$581.40 per case of 6,$101.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3 (2014),South Australia,Shiraz,Dry,Ranked 2 of 116 Shiraz from McLaren Vale,Full Bodied,,,Excellent,
101,14.5% (2014),Langmeil,Screw Cap,Australia,2014*,Resurrection Mataro,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2014),South Australia,Mataro,Dry,,,,,,
102,14.0% (2017),99 In The Shade,Screw Cap,Australia,2017*,Merlot,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2017),South Australia,Merlot,Dry,,Medium Bodied,,,,
103,14.0% (2012),Taylors Estate,Screw Cap,Australia,2012,Cabernet Sauvignon 2012,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Ranked 18 of 23 Cabernet Sauvignon from Clare Valley,Clare Valley,750mL,8.3 (2012),South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
104,14%,Ringleader,Cork,Australia,2017,Langhorne Creek Cabernet Sauvignon 2017,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,,Langhorne Creek,750mL,8.3,South Australia,Cabernet Sauvignon,,,,,,,
105,13.5%,Scorpo,Cork,Australia,2016*,Pinot Noir,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.0,Victoria,Pinot Noir,Dry,,Light Bodied,,,,
106,14.5%,St John's Road,,Australia,2016*,Line & Length Cabernet Sauvignon,$18.99 in any six,$113.99 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley & Eden Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,Ranked 7 of 15 Cabernet Sauvignon from Barossa,Full Bodied,,,,
107,14.5%,Shottesbrooke,Screw Cap,Australia,2015*,Merlot,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Awards: Gold Medal - Grand International Wine Award Mundus Vini 2017,McLaren Vale,750mL,8.6,South Australia,Merlot,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Ranked 17 of 29 Merlot from South Australia,,,
108,13.0% (2010),Crawford River,Cork,Australia,,Cabernet Sauvignon,$49.40 in any six,$592.80 per case of 12,$51.99 per bottle,Ranked 2 of 30 Cabernet Sauvignon from Victoria,Henty,750mL,7.7 (2008),Victoria,Cabernet Sauvignon,Dry,,Full Bodied,,,,
109,14.0% (2015),McWilliam's,Screw Cap,Australia,2015*,Cool Climate Shiraz,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,8.3 (2015),New South Wales,Shiraz,Dry,,Full Bodied,,,,
110,13.0%,McGuigan,Screw Cap,Australia,2016*,The Founders Malbec,$13.20 in any six,$79.20 per case of 6,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,7.7,South Australia,Malbec,Dry,,,,,,
111,14.5%,Parker Coonawarra Estate,Screw Cap,Australia,2016*,Terra Rossa Shiraz,$29.95 in any six,$179.70 per case of 6,$29.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Shiraz,Dry,Ranked 12 of 19 Shiraz from Coonawarra,Full Bodied,,,,
112,14%,Yalumba,Cork,Australia,2015*,Paradox Shiraz,$44.70 in any six,$268.20 per case of 6,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Shiraz,Dry,Ranked 40 of 135 Shiraz from Barossa Valley,Full Bodied,,true,,
113,14.0%,Mount Majura,Screw Cap,Australia,2017,Tempranillo 750mL,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 27 of 39 Tempranillo from Australia,,Canberra District,750mL,8.3,Australian Capital Territory,Tempranillo,Dry,,Full Bodied,,,,
114,13.0% (2013),Mount Pleasant,Screw Cap,Australia,2013*,Rosehill Shiraz,$46.60 in any six,$279.60 per case of 6,$48.99 per bottle,"Awards: 2 Gold Medals - Hunter Wine Show 2017, Perth Royal Wine Show 2012",Hunter Valley,750mL,7.7 (2013),New South Wales,Shiraz,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Ranked 11 of 48 Shiraz from Lower Hunter,,,
115,14.5,Haselgrove,Screw Cap,Australia,2015,Origin Switch GSM 2016,$92.24 per pack of 2,$276.72 per case of 6,,,,750mL,8.6,,Red Wine,,,,,,,
116,14.5%,Printhie,Screw Cap,Australia,2016*,Mountain Range Cabernet Sauvignon,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,8.6,New South Wales,Cabernet Sauvignon,Dry,,Full Bodied,,,,
117,13.8%,Shingleback,,Australia,2013,Red Knot Shiraz 2013,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"Awards: Blue-Gold & Top 100 - Sydney International Wine Competition Awarded: 2015,  Silver - International Wine & Spirit Competition Awarded: 2014,  Bronze - Hong Kong International Wine & Spirit Competition Awarded: 2014,  Commended - International Wine Challeng",McLaren Vale,750mL,8.2,South Australia,Shiraz,Dry,Ranked 94 of 108 Shiraz from McLaren Vale,Full Bodied,,,,
118,13.5% (2013),Yeringberg,Cork,Australia,2013*,Cabernet Blend,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0 (2013),Victoria,Cabernet Blend,Dry,Ranked 1 of 15 Cabernet Sauvignon from Victoria,,,,,
119,14.0% (2015),Philip Shaw,Screw Cap,Australia,2015*,No.89 Shiraz,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,8.2 (2015),New South Wales,Shiraz,Dry,,,,,,
