,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Langtons Classified,Region,Wine Body,Wine Style,Price Option 2,Vegan Friendly,Price Option 3,Price Option 4,Organic,Price Option 5
27,13.50%,Dalwhinnie,Australia,Moonambel Shiraz 2006,$84.99 per bottle,Ranked 3 of 24 Shiraz from Western Victoria,750mL,8,Victoria,Shiraz,Screw Cap,2006,Excellent,Pyrenees,Full Bodied,Dry,,,,,,
28,14%,Adina Vineyard,Australia,Estate Shiraz 2014,$29.00 per bottle,$174.00 per case of 6,750mL,8.3,New South Wales,Shiraz,Screw Cap,,,Hunter Valley,Full Bodied,Semi Dry,,,,,,
29,,,,Unknown,,,,,,,,,,,,,,,,,,
30,14.5%,Fermoy Estate,Australia,Cabernet Sauvignon,$25.70 in any six,$250.68 per case of 12,750mL,8.6,Western Australia,Cabernet Sauvignon,Screw Cap,2015*,,Margaret River,Full Bodied,Dry,$26.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
31,14.5% (2009),Stella Bella,Australia,Sangiovese Cabernet Sauvignon,$31.40 in any six,$376.80 per case of 12,750mL,8.6 (2009),Western Australia,Sangiovese Cabernet,Screw Cap,2009*,,Margaret River,Medium Bodied,Dry,$32.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
32,14.5,Rosabrook,Australia,Cabernet Merlot 2015,$19.95 per bottle,$119.70 per case of 6,750ml,8.6,FRE,Cabernet Merlot,Screw Cap,2015,,Margaret River,Medium Bodied,Dry,Dry Red,,,,,
33,14.5%,Bunkers,Australia,The Box Tempranillo 2017,$119.95 per pack of 6,"Awards: Silver medal, Perth Royal Wine Awards 2018
Silver medal, Langton's Margaret River Wine Show 2018",750mL,8.6,Western Australia,Tempranillo,Screw Cap,2017,,Margaret River,Medium Bodied,Dry,,,,,,
34,13.9%,St Johns Brook,Australia,Single Vineyard Shiraz 2016 750mL,$24.99 per bottle,$142.80 per case of 6,750mL,8.2,Western Australia,Shiraz,Screw Cap,,,Margaret River,,,Awards: 93 pts James Halliday 2017,,,,,
35,13.5%,St Johns Brook,Australia,Margaret River Reserve Shiraz 2016,$49.80 per bottle,$239.04 per case of 6,750mL,8.0,Western Australia,Shiraz,Screw Cap,,,Margaret River,,,,,,,,
36,14%,Adina Vineyard,Australia,Estate Shiraz 2014,$29.00 per bottle,$174.00 per case of 6,750mL,8.3,New South Wales,Shiraz,Screw Cap,,,Hunter Valley,Full Bodied,Semi Dry,,,,,,
37,12.2%,Lerida Estate,Australia,Lake George Shiraz Viognier,$66.50 in any six,$399.00 per case of 6,750mL,7.2,Australian Capital Territory,Shiraz Viognier,Screw Cap,2011*,,Canberra District,,Dry,$69.99 per bottle,,Awards: Bronze - International Cool Climate Show 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
38,13.5%,Altoona Hills,Australia,Cabernet Merlot,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Cabernet Merlot,Screw Cap,2017*,,,Medium Bodied,Dry,,,,,,
39,13.5%,Bryan MacRobert,Australia,Field Blend,$42.95 per bottle,$515.40 per case of 6,750mL,7.9,,"Shiraz, Mourvedre, Cinsault",,,,,,,,,,,,
40,13.5%,La Bastide Blanche,Australia,Bandol Rose,$52.95 per bottle,$635.40 per case of 6,750mL,7.9,,"Mourvèdre, Grenache, Cinsault ",,,,,,,,,,,,
41,12.5%,Bachelet,Australia,Bourgogne Rouge,$89.95 per bottle,$539.70 per case of 6,750mL,7.3,,Pinot noir,,,,,,,,,,,,
